"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PALLASCA (000)",29027,15045,13982
"Casa independiente (001)",28030,14876,13154
"Vivienda en quinta (003)",23,23,
"Vivienda en casa de vecindad (004)",138,138,
"Choza o cabaña (005)",824,,824
"Vivienda improvisada (006)",4,4,
"Local no dest.para hab. humana (007)",7,3,4
"Otro tipo (008)",1,1,
