"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia ASCOPE (000)",115652,101653,13999
"Casa independiente (001)",113931,100171,13760
"Departamento en edificio (002)",115,115,
"Vivienda en quinta (003)",212,212,
"Vivienda en casa de vecindad (004)",581,581,
"Choza o cabaña (005)",233,,233
"Vivienda improvisada (006)",528,528,
"Local no dest.para hab. humana (007)",51,46,5
"Otro tipo (008)",1,,1
