"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia ESPINAR (000)",22495,2873,3663,10824,222,4682,231
"Sin nivel (001)",2591,10,137,1478,18,923,25
"Educación inicial (002)",18,,2,6,1,9,
"Primaria (003)",9170,163,1100,5353,49,2438,67
"Secundaria (004)",6934,662,1788,3105,91,1167,121
"Superior no univ. incompleta (005)",787,244,188,291,10,51,3
"Superior no univ. completa (006)",1392,715,263,324,32,52,6
"Superior univ. incompleta (007)",413,180,78,113,9,27,6
"Superior univ. completa (008)",1190,899,107,154,12,15,3
"Hombres (010)",13221,1932,3231,6481,157,1393,27
"Sin nivel (011)",634,2,66,476,7,79,4
"Educación inicial (012)",2,,1,,,1,
"Primaria (013)",4876,90,876,3305,29,570,6
"Secundaria (014)",5034,482,1685,2127,72,654,14
"Superior no univ. incompleta (015)",583,183,174,185,7,33,1
"Superior no univ. completa (016)",963,438,250,220,26,29,
"Superior univ. incompleta (017)",320,144,77,73,6,18,2
"Superior univ. completa (018)",809,593,102,95,10,9,
"Mujeres (020)",9274,941,432,4343,65,3289,204
"Sin nivel (021)",1957,8,71,1002,11,844,21
"Educación inicial (022)",16,,1,6,1,8,
"Primaria (023)",4294,73,224,2048,20,1868,61
"Secundaria (024)",1900,180,103,978,19,513,107
"Superior no univ. incompleta (025)",204,61,14,106,3,18,2
"Superior no univ. completa (026)",429,277,13,104,6,23,6
"Superior univ. incompleta (027)",93,36,1,40,3,9,4
"Superior univ. completa (028)",381,306,5,59,2,6,3
,,,,,,,
"URBANA (030)",9365,2523,2060,3846,163,609,164
"Sin nivel (031)",363,9,31,248,5,58,12
"Educación inicial (032)",2,,,1,1,,
"Primaria (033)",2166,127,381,1351,24,242,41
"Secundaria (034)",3597,529,1109,1557,79,228,95
"Superior no univ. incompleta (035)",600,197,149,216,9,27,2
"Superior no univ. completa (036)",1179,646,229,244,28,26,6
"Superior univ. incompleta (037)",356,166,65,96,9,15,5
"Superior univ. completa (038)",1102,849,96,133,8,13,3
"Hombres (040)",5836,1673,1917,1899,121,206,20
"Sin nivel (041)",70,1,18,41,2,6,2
"Primaria (043)",1031,71,336,545,13,63,3
"Secundaria (044)",2508,387,1051,899,63,96,12
"Superior no univ. incompleta (045)",430,146,138,125,6,14,1
"Superior no univ. completa (046)",793,386,219,152,24,12,
"Superior univ. incompleta (047)",268,131,64,57,6,8,2
"Superior univ. completa (048)",736,551,91,80,7,7,
"Mujeres (050)",3529,850,143,1947,42,403,144
"Sin nivel (051)",293,8,13,207,3,52,10
"Educación inicial (052)",2,,,1,1,,
"Primaria (053)",1135,56,45,806,11,179,38
"Secundaria (054)",1089,142,58,658,16,132,83
"Superior no univ. incompleta (055)",170,51,11,91,3,13,1
"Superior no univ. completa (056)",386,260,10,92,4,14,6
"Superior univ. incompleta (057)",88,35,1,39,3,7,3
"Superior univ. completa (058)",366,298,5,53,1,6,3
,,,,,,,
"RURAL (060)",13130,350,1603,6978,59,4073,67
"Sin nivel (061)",2228,1,106,1230,13,865,13
"Educación inicial (062)",16,,2,5,,9,
"Primaria (063)",7004,36,719,4002,25,2196,26
"Secundaria (064)",3337,133,679,1548,12,939,26
"Superior no univ. incompleta (065)",187,47,39,75,1,24,1
"Superior no univ. completa (066)",213,69,34,80,4,26,
"Superior univ. incompleta (067)",57,14,13,17,,12,1
"Superior univ. completa (068)",88,50,11,21,4,2,
"Hombres (070)",7385,259,1314,4582,36,1187,7
"Sin nivel (071)",564,1,48,435,5,73,2
"Educación inicial (072)",2,,1,,,1,
"Primaria (073)",3845,19,540,2760,16,507,3
"Secundaria (074)",2526,95,634,1228,9,558,2
"Superior no univ. incompleta (075)",153,37,36,60,1,19,
"Superior no univ. completa (076)",170,52,31,68,2,17,
"Superior univ. incompleta (077)",52,13,13,16,,10,
"Superior univ. completa (078)",73,42,11,15,3,2,
"Mujeres (080)",5745,91,289,2396,23,2886,60
"Sin nivel (081)",1664,,58,795,8,792,11
"Educación inicial (082)",14,,1,5,,8,
"Primaria (083)",3159,17,179,1242,9,1689,23
"Secundaria (084)",811,38,45,320,3,381,24
"Superior no univ. incompleta (085)",34,10,3,15,,5,1
"Superior no univ. completa (086)",43,17,3,12,2,9,
"Superior univ. incompleta (087)",5,1,,1,,2,1
"Superior univ. completa (088)",15,8,,6,1,,
