"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUAURA (000)",77446,73508,22049,12328,12149,8965,9649,4791,2264,1313,3938,170313
"De 12 a 14 años (001)",6135,6105,6078,26,1,,,,,,30,28
"De 15 a 19 años (002)",9577,9409,8370,939,80,13,7,,,,168,1166
"De 20 a 24 años (003)",9025,7745,3613,2993,935,174,26,4,,,1280,5520
"De 25 a 29 años (004)",8093,7054,1362,2789,1974,701,214,11,3,,1039,9830
"De 30 a 34 años (005)",7519,7022,683,1925,2360,1334,632,83,2,3,497,13903
"De 35 a 39 años (006)",6906,6631,401,1195,2146,1478,1161,202,43,5,275,16619
"De 40 a 44 años (007)",6148,5987,310,723,1492,1457,1415,458,116,16,161,18288
"De 45 a 49 años (008)",5121,5002,259,472,935,1067,1368,640,212,49,119,17947
"De 50 y más años (009)",18922,18553,973,1266,2226,2741,4826,3393,1888,1240,369,87012
"Conviviente (010)",19686,19143,1405,5704,4795,2914,2665,1065,413,182,543,47985
"De 12 a 14 años (011)",57,32,17,15,,,,,,,25,15
"De 15 a 19 años (012)",1179,1036,341,632,52,6,5,,,,143,774
"De 20 a 24 años (013)",3328,3162,436,1876,700,129,19,2,,,166,3755
"De 25 a 29 años (014)",3763,3653,251,1538,1240,467,150,6,1,,110,6092
"De 30 a 34 años (015)",3362,3324,116,817,1199,726,409,55,1,1,38,7504
"De 35 a 39 años (016)",2666,2643,70,392,787,648,598,122,23,3,23,7494
"De 40 a 44 años (017)",1852,1842,38,174,398,436,526,209,54,7,10,6455
"De 45 a 49 años (018)",1210,1202,37,88,178,223,367,220,73,16,8,4915
"De 50 y más años (019)",2269,2249,99,172,241,279,591,451,261,155,20,10981
"Separado(a) (020)",3835,3767,66,1042,895,613,672,297,120,62,68,11218
"De 12 a 14 años (021)",8,6,4,2,,,,,,,2,2
