"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia COTABAMBAS (000)",30188,5799,4621,5516,5010,3619,5623
"Conviviente (001)",8998,132,1880,3311,1963,881,831
"Separado(a) (002)",470,4,103,130,90,72,71
"Casado(a) (003)",9283,18,157,1311,2555,2260,2982
"Viudo(a) (004)",2124,1,16,66,192,295,1554
"Divorciado(a) (005)",91,,5,14,20,15,37
"Soltero(a) (006)",9222,5644,2460,684,190,96,148
"Hombres (008)",15281,3020,2405,2724,2568,1861,2703
"Conviviente (009)",4477,60,677,1706,1097,491,446
"Separado(a) (010)",108,1,6,17,23,34,27
"Casado(a) (011)",4663,11,57,532,1232,1188,1643
"Viudo(a) (012)",668,1,2,20,76,83,486
"Divorciado(a) (013)",36,,1,3,9,10,13
"Soltero(a) (014)",5329,2947,1662,446,131,55,88
"Mujeres (016)",14907,2779,2216,2792,2442,1758,2920
"Conviviente (017)",4521,72,1203,1605,866,390,385
"Separado(a) (018)",362,3,97,113,67,38,44
"Casado(a) (019)",4620,7,100,779,1323,1072,1339
"Viudo(a) (020)",1456,,14,46,116,212,1068
"Divorciado(a) (021)",55,,4,11,11,5,24
"Soltero(a) (022)",3893,2697,798,238,59,41,60
,,,,,,,
"URBANA (024)",8586,1570,1343,1891,1525,1013,1244
"Conviviente (025)",2706,42,491,1137,635,251,150
"Separado(a) (026)",215,1,30,68,47,39,30
"Casado(a) (027)",2385,8,33,314,718,630,682
"Viudo(a) (028)",430,,5,9,33,54,329
"Divorciado(a) (029)",29,,,4,11,4,10
"Soltero(a) (030)",2821,1519,784,359,81,35,43
"Hombres (032)",4408,795,692,947,825,557,592
"Conviviente (033)",1411,24,170,596,383,150,88
"Separado(a) (034)",56,1,1,11,9,23,11
"Casado(a) (035)",1255,3,18,129,378,347,380
"Viudo(a) (036)",112,,,2,5,16,89
"Divorciado(a) (037)",12,,,,5,3,4
"Soltero(a) (038)",1562,767,503,209,45,18,20
"Mujeres (040)",4178,775,651,944,700,456,652
"Conviviente (041)",1295,18,321,541,252,101,62
"Separado(a) (042)",159,,29,57,38,16,19
"Casado(a) (043)",1130,5,15,185,340,283,302
"Viudo(a) (044)",318,,5,7,28,38,240
"Divorciado(a) (045)",17,,,4,6,1,6
"Soltero(a) (046)",1259,752,281,150,36,17,23
,,,,,,,
"RURAL (048)",21602,4229,3278,3625,3485,2606,4379
"Conviviente (049)",6292,90,1389,2174,1328,630,681
"Separado(a) (050)",255,3,73,62,43,33,41
"Casado(a) (051)",6898,10,124,997,1837,1630,2300
"Viudo(a) (052)",1694,1,11,57,159,241,1225
"Divorciado(a) (053)",62,,5,10,9,11,27
"Soltero(a) (054)",6401,4125,1676,325,109,61,105
"Hombres (056)",10873,2225,1713,1777,1743,1304,2111
"Conviviente (057)",3066,36,507,1110,714,341,358
"Separado(a) (058)",52,,5,6,14,11,16
"Casado(a) (059)",3408,8,39,403,854,841,1263
"Viudo(a) (060)",556,1,2,18,71,67,397
"Divorciado(a) (061)",24,,1,3,4,7,9
"Soltero(a) (062)",3767,2180,1159,237,86,37,68
"Mujeres (064)",10729,2004,1565,1848,1742,1302,2268
"Conviviente (065)",3226,54,882,1064,614,289,323
"Separado(a) (066)",203,3,68,56,29,22,25
"Casado(a) (067)",3490,2,85,594,983,789,1037
"Viudo(a) (068)",1138,,9,39,88,174,828
"Divorciado(a) (069)",38,,4,7,5,4,18
"Soltero(a) (070)",2634,1945,517,88,23,24,37
