"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia CARHUAZ (000)",11012,43772,3825,14732,7187,29040
"Casa independiente (001)",10942,43535,3793,14634,7149,28901
"Departamento en edificio (002)",6,20,6,20,,
"Vivienda en quinta (003)",8,16,8,16,,
"Vivienda en casa de vecindad (004)",12,39,12,39,,
"Choza o cabaña (005)",38,139,,,38,139
"Vivienda improvisada (006)",2,10,2,10,,
"Local no dest.para hab. humana (007)",4,13,4,13,,
