"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia MARISCAL RAMON CASTILLA (000)",16835,1264,21,8162,5361,387,518,350,772
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",37,,,,7,2,9,5,14
"Profes., científicos e intelectuales (002)",958,,,,27,88,171,125,547
"Técnicos de nivel medio ytrab.asimilados (003)",242,,,11,70,30,72,25,34
"Jefes y empleados de oficina (004)",215,,,1,84,22,45,31,32
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",1105,28,1,355,560,48,36,44,33
"Agricult.trabaj. calif.agrop. y pesquros (006)",7390,746,4,4357,2103,58,49,47,26
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",652,9,2,163,402,27,23,14,12
"Obreros. construc., conf., papel, fab., instr (008)",300,3,,61,195,18,6,12,5
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",5345,457,14,3059,1671,49,38,33,24
"Otra (010)",219,,,,97,22,59,9,32
"Ocupación no especificada (011)",372,21,,155,145,23,10,5,13
"Hombres (012)",12563,790,17,6108,4262,289,353,247,497
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",26,,,,5,1,7,4,9
"Profes., científicos e intelectuales (014)",571,,,,11,50,91,83,336
"Técnicos de nivel medio ytrab.asimilados (015)",174,,,8,55,25,45,19,22
"Jefes y empleados de oficina (016)",131,,,,60,12,22,17,20
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",553,8,,161,288,31,20,28,17
"Agricult.trabaj. calif.agrop. y pesquros (018)",6654,611,4,3934,1942,52,47,40,24
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",598,7,2,144,378,23,21,14,9
"Obreros. construc., conf., papel, fab., instr (020)",288,2,,59,186,18,6,12,5
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",3151,157,11,1739,1144,39,28,17,16
"Otra (022)",215,,,,97,21,57,9,31
"Ocupación no especificada (023)",202,5,,63,96,17,9,4,8
"Mujeres (024)",4272,474,4,2054,1099,98,165,103,275
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",11,,,,2,1,2,1,5
"Profes., científicos e intelectuales (026)",387,,,,16,38,80,42,211
"Técnicos de nivel medio ytrab.asimilados (027)",68,,,3,15,5,27,6,12
"Jefes y empleados de oficina (028)",84,,,1,24,10,23,14,12
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",552,20,1,194,272,17,16,16,16
"Agricult.trabaj. calif.agrop. y pesquros (030)",736,135,,423,161,6,2,7,2
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",54,2,,19,24,4,2,,3
"Obreros. construc., conf., papel, fab., instr (032)",12,1,,2,9,,,,
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",2194,300,3,1320,527,10,10,16,8
"Otra (034)",4,,,,,1,2,,1
"Ocupación no especificada (035)",170,16,,92,49,6,1,1,5
,,,,,,,,,
"URBANA (036)",4864,131,7,1352,2073,233,350,206,512
"Miembros p.ejec. y leg.direct., adm.pub.y emp (037)",23,,,,5,1,6,3,8
