"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia CAÑETE (000)",82088,168,6193,3362,2901,12881,7757,5498,9603,32181,507,1037
"Agric., ganadería, caza y silvicultura (001)",26632,2,101,236,61,,7428,25,110,18669,,
"Pesca (002)",562,,,,3,,329,,1,229,,
"Explotación de minas y canteras (003)",1017,,51,52,36,8,,670,89,111,,
"Industrias manufactureras (004)",3767,2,63,204,99,27,,2843,290,239,,
"Suministro de electricidad, gas y agua (005)",207,,16,24,47,,,30,34,56,,
"Construcción (006)",6807,8,108,193,51,,,475,3523,2449,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",13996,10,115,446,174,9144,,1299,156,2652,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",1486,3,12,50,22,283,,1005,77,34,,
"Comercio al por mayor (009)",921,2,29,74,47,656,,5,19,89,,
"Comercio al por menor (010)",11589,5,74,322,105,8205,,289,60,2529,,
"Hoteles y restaurantes (011)",3880,2,50,169,111,2019,,,,1529,,
"Trans., almac. y comunicaciones (012)",6962,6,53,158,212,26,,22,5162,1323,,
"Intermediación financiera (013)",299,2,35,66,175,,,,,21,,
"Activid.inmobil., empres. y alquileres (014)",3651,3,512,618,464,1144,,48,94,768,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",2742,56,351,293,1025,72,,5,69,364,507,
"Enseñanza (016)",4345,73,4033,34,137,,,,,68,,
"Servicios sociales y de salud (017)",1431,1,500,497,118,93,,9,22,191,,
"Otras activ. serv.comun.soc y personales (018)",2490,3,200,363,166,342,,71,53,1292,,
"Hogares privados con servicio doméstico (019)",2227,,1,3,,6,,,,2217,,
"Organiz. y organos extraterritoriales (020)",1,,,,1,,,,,,,
"Actividad economica no especificada (021)",1072,,4,6,21,,,1,,3,,1037
"Hombres (022)",52662,117,2823,2138,1300,5360,6478,4808,9415,19265,486,472
"Agric., ganadería, caza y silvicultura (023)",18484,2,92,219,49,,6166,21,109,11826,,
"Pesca (024)",535,,,,3,,312,,1,219,,
"Explotación de minas y canteras (025)",983,,48,48,34,6,,653,89,105,,
"Industrias manufactureras (026)",2896,,45,153,60,13,,2231,240,154,,
"Suministro de electricidad, gas y agua (027)",172,,10,20,26,,,29,33,54,,
"Construcción (028)",6698,8,97,184,42,,,468,3486,2413,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",6474,8,55,279,74,3508,,1259,155,1136,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",1355,1,9,36,10,207,,984,77,31,,
"Comercio al por mayor (031)",550,2,12,44,25,378,,4,19,66,,
"Comercio al por menor (032)",4569,5,34,199,39,2923,,271,59,1039,,
"Hoteles y restaurantes (033)",1075,2,27,73,45,557,,,,371,,
"Trans., almac. y comunicaciones (034)",6521,6,41,113,122,15,,21,5084,1119,,
"Intermediación financiera (035)",144,2,18,28,86,,,,,10,,
"Activid.inmobil., empres. y alquileres (036)",2807,3,378,417,190,1120,,46,88,565,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",1632,35,168,139,420,65,,5,57,257,486,
"Enseñanza (038)",1663,48,1500,27,42,,,,,46,,
"Servicios sociales y de salud (039)",429,,180,140,38,6,,8,22,35,,
"Otras activ. serv.comun.soc y personales (040)",1551,3,162,295,62,70,,66,51,842,,
"Hogares privados con servicio doméstico (041)",111,,,,,,,,,111,,
"Organiz. y organos extraterritoriales (042)",1,,,,1,,,,,,,
"Actividad economica no especificada (043)",486,,2,3,6,,,1,,2,,472
"Mujeres (044)",29426,51,3370,1224,1601,7521,1279,690,188,12916,21,565
"Agric., ganadería, caza y silvicultura (045)",8148,,9,17,12,,1262,4,1,6843,,
"Pesca (046)",27,,,,,,17,,,10,,
"Explotación de minas y canteras (047)",34,,3,4,2,2,,17,,6,,
