"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia LA UNION (000)",15442,7362,8080
"Casa independiente (001)",14547,7064,7483
"Vivienda en quinta (003)",99,99,
"Vivienda en casa de vecindad (004)",177,177,
"Choza o cabaña (005)",577,,577
"Vivienda improvisada (006)",5,5,
"Local no dest.para hab. humana (007)",35,16,19
"Otro tipo (008)",2,1,1
