"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia RECUAY (000)",5493,75,216,535,809,1020,1579,1259
"De 12 a 14 años (001)",3,,,,,,,3
"De 15 a 19 años (002)",86,,,,,,54,32
"De 20 a 24 años (003)",416,,,,,1,255,160
"De 25 a 29 años (004)",578,,,,,24,369,185
"De 30 a 34 años (005)",510,,,,,90,308,112
"De 35 a 39 años (006)",567,,,,7,160,285,115
"De 40 a 44 años (007)",529,,,,36,209,200,84
"De 45 a 49 años (008)",461,,,,89,208,92,72
"De 50 y más años (009)",2343,75,216,535,677,328,16,496
"Sin nivel (010)",1307,58,113,254,265,165,148,304
"De 15 a 19 años (012)",3,,,,,,,3
"De 20 a 24 años (013)",7,,,,,,6,1
"De 25 a 29 años (014)",18,,,,,,13,5
"De 30 a 34 años (015)",40,,,,,2,33,5
"De 35 a 39 años (016)",59,,,,,12,39,8
"De 40 a 44 años (017)",67,,,,5,24,24,14
"De 45 a 49 años (018)",89,,,,11,38,28,12
"De 50 y más años (019)",1024,58,113,254,249,89,5,256
"Educacion Inicial (020)",12,,,,,2,7,3
"De 25 a 29 años (024)",2,,,,,,1,1
"De 30 a 34 años (025)",5,,,,,2,3,
"De 35 a 39 años (026)",5,,,,,,3,2
"Primaria (030)",2141,13,94,238,394,516,526,360
"De 12 a 14 años (031)",3,,,,,,,3
"De 15 a 19 años (032)",24,,,,,,16,8
"De 20 a 24 años (033)",75,,,,,,52,23
"De 25 a 29 años (034)",120,,,,,4,90,26
"De 30 a 34 años (035)",166,,,,,27,109,30
"De 35 a 39 años (036)",196,,,,2,73,100,21
"De 40 a 44 años (037)",268,,,,15,115,109,29
"De 45 a 49 años (038)",228,,,,43,110,42,33
"De 50 y más años (039)",1061,13,94,238,334,187,8,187
"Secundaria (040)",1237,1,3,26,107,223,569,308
"De 15 a 19 años (042)",50,,,,,,32,18
"De 20 a 24 años (043)",203,,,,,,132,71
"De 25 a 29 años (044)",251,,,,,14,163,74
"De 30 a 34 años (045)",166,,,,,36,95,35
"De 35 a 39 años (046)",188,,,,3,51,92,42
"De 40 a 44 años (047)",120,,,,10,48,40,22
"De 45 a 49 años (048)",94,,,,26,41,13,14
"De 50 y más años (049)",165,1,3,26,68,33,2,32
"Sup. no Univ. incompleta (050)",219,,1,1,8,30,92,87
"De 15 a 19 años (052)",5,,,,,,4,1
"De 20 a 24 años (053)",65,,,,,1,31,33
"De 25 a 29 años (054)",51,,,,,2,24,25
"De 30 a 34 años (055)",28,,,,,7,13,8
"De 35 a 39 años (056)",29,,,,1,6,11,11
