"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia LA UNION (000)",5843,1019,9,2073,1512,202,438,121,469
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",28,3,,1,10,,4,3,7
"Profes., científicos e intelectuales (002)",434,,,,16,12,101,16,289
"Técnicos de nivel medio ytrab.asimilados (003)",93,,,2,15,11,46,5,14
"Jefes y empleados de oficina (004)",104,,,4,20,11,33,10,26
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",324,47,1,80,109,19,31,13,24
"Agricult.trabaj. calif.agrop. y pesquros (006)",2324,439,1,1053,591,65,96,30,49
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",132,12,,34,43,8,21,6,8
"Obreros. construc., conf., papel, fab., instr (008)",158,3,,32,80,15,19,5,4
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",2112,491,6,821,602,52,70,30,40
"Otra (010)",19,,,,3,2,9,3,2
"Ocupación no especificada (011)",115,24,1,46,23,7,8,,6
"Hombres (012)",3541,355,4,1344,1084,144,263,82,265
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",25,2,,1,10,,4,2,6
"Profes., científicos e intelectuales (014)",195,,,,4,3,41,8,139
"Técnicos de nivel medio ytrab.asimilados (015)",53,,,2,6,10,24,2,9
"Jefes y empleados de oficina (016)",52,,,4,11,7,14,5,11
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",97,8,,22,31,7,10,5,14
"Agricult.trabaj. calif.agrop. y pesquros (018)",1748,216,1,840,487,52,82,27,43
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",106,10,,26,36,6,18,4,6
"Obreros. construc., conf., papel, fab., instr (020)",156,2,,32,79,15,19,5,4
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",1037,115,3,389,402,40,39,21,28
"Otra (022)",19,,,,3,2,9,3,2
"Ocupación no especificada (023)",53,2,,28,15,2,3,,3
"Mujeres (024)",2302,664,5,729,428,58,175,39,204
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",3,1,,,,,,1,1
"Profes., científicos e intelectuales (026)",239,,,,12,9,60,8,150
"Técnicos de nivel medio ytrab.asimilados (027)",40,,,,9,1,22,3,5
"Jefes y empleados de oficina (028)",52,,,,9,4,19,5,15
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",227,39,1,58,78,12,21,8,10
"Agricult.trabaj. calif.agrop. y pesquros (030)",576,223,,213,104,13,14,3,6
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",26,2,,8,7,2,3,2,2
"Obreros. construc., conf., papel, fab., instr (032)",2,1,,,1,,,,
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",1075,376,3,432,200,12,31,9,12
"Ocupación no especificada (035)",62,22,1,18,8,5,5,,3
,,,,,,,,,
"URBANA (036)",2924,328,5,869,831,131,291,89,380
"Miembros p.ejec. y leg.direct., adm.pub.y emp (037)",26,3,,1,8,,4,3,7
"Profes., científicos e intelectuales (038)",358,,,,9,8,85,12,244
"Técnicos de nivel medio ytrab.asimilados (039)",72,,,2,13,7,37,4,9
