"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUALLAGA (000)",9304,8154,648,213,289
"Agric., ganadería, caza y silvicultura (001)",6824,6328,469,26,1
"Pesca (002)",2,2,,,
"Explotación de minas y canteras (003)",1,,,,1
"Industrias manufactureras (004)",165,150,10,3,2
"Suministro de electricidad, gas y agua (005)",9,2,6,1,
"Construcción (006)",102,88,8,3,3
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",514,496,16,2,
"Venta, mant.y rep. veh.autom y motoc. (008)",60,59,,1,
"Comercio al por mayor (009)",36,35,1,,
"Comercio al por menor (010)",418,402,15,1,
"Hoteles y restaurantes (011)",155,146,8,1,
"Trans., almac. y comunicaciones (012)",254,218,20,13,3
"Intermediación financiera (013)",6,4,2,,
"Activid.inmobil., empres. y alquileres (014)",54,37,3,10,4
"Admin.pub. y defensa; p. segur soc.afil (015)",157,,,,157
"Enseñanza (016)",364,109,86,134,35
"Servicios sociales y de salud (017)",104,15,3,10,76
"Otras activ. serv.comun.soc y personales (018)",61,48,8,4,1
"Hogares privados con servicio doméstico (019)",324,324,,,
"Actividad economica no especificada (021)",208,187,9,6,6
"Hombres (022)",7257,6427,537,123,170
"Agric., ganadería, caza y silvicultura (023)",5983,5542,418,22,1
"Pesca (024)",2,2,,,
"Explotación de minas y canteras (025)",1,,,,1
"Industrias manufactureras (026)",125,114,8,1,2
"Suministro de electricidad, gas y agua (027)",9,2,6,1,
"Construcción (028)",99,85,8,3,3
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",290,281,7,2,
"Venta, mant.y rep. veh.autom y motoc. (030)",51,50,,1,
"Comercio al por mayor (031)",19,18,1,,
"Comercio al por menor (032)",220,213,6,1,
"Hoteles y restaurantes (033)",22,21,1,,
"Trans., almac. y comunicaciones (034)",236,205,17,11,3
"Intermediación financiera (035)",4,2,2,,
"Activid.inmobil., empres. y alquileres (036)",42,30,3,6,3
"Admin.pub. y defensa; p. segur soc.afil (037)",108,,,,108
"Enseñanza (038)",190,51,51,65,23
"Servicios sociales y de salud (039)",36,5,1,6,24
"Otras activ. serv.comun.soc y personales (040)",39,27,8,3,1
"Hogares privados con servicio doméstico (041)",14,14,,,
"Actividad economica no especificada (043)",57,46,7,3,1
"Mujeres (044)",2047,1727,111,90,119
