"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia BELLAVISTA (000)",19097,901,29,10257,5838,552,868,206,446
"Agric., ganadería, caza y silvicultura (001)",13019,752,24,8443,3498,140,74,43,45
"Pesca (002)",6,,,3,3,,,,
"Explotación de minas y canteras (003)",2,,,,1,,1,,
"Industrias manufactureras (004)",430,5,,153,202,31,26,4,9
"Suministro de electricidad, gas y agua (005)",28,,,5,11,5,5,1,1
"Construcción (006)",368,7,,108,201,22,21,6,3
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1712,24,3,567,793,99,114,47,65
"Venta, mant.y rep. veh.autom.y motoc. (008)",190,1,,33,103,18,18,5,12
"Comercio al por mayor (009)",65,2,1,18,28,6,5,4,1
"Comercio al por menor (010)",1457,21,2,516,662,75,91,38,52
"Hoteles y restaurantes (011)",502,28,1,234,201,20,11,5,2
"Trans., almac. y comunicaciones (012)",642,6,,161,362,58,34,15,6
"Intermediación financiera (013)",22,,,,3,3,2,2,12
"Activid.inmobil., empres. y de alquiler (014)",137,1,,13,38,29,27,8,21
"Admin.pub. y defensa; p. segur.soc.afil (015)",248,2,,11,92,30,68,15,30
"Enseñanza (016)",707,,,1,41,61,368,45,191
"Servicios sociales y de salud (017)",142,1,,4,10,14,63,6,44
"Otras activ. serv.comun.soc y personales (018)",177,6,,48,75,17,17,7,7
"Hogares privados con servicio doméstico (019)",412,28,1,217,154,4,7,,1
"Actividad economica no especificada (021)",543,41,,289,153,19,30,2,9
"Hombres (022)",14655,527,22,8095,4671,396,522,143,279
"Agric., ganadería, caza y silvicultura (023)",11205,483,19,7240,3181,130,70,39,43
"Pesca (024)",6,,,3,3,,,,
"Explotación de minas y canteras (025)",2,,,,1,,1,,
"Industrias manufactureras (026)",338,2,,120,161,26,19,2,8
"Suministro de electricidad, gas y agua (027)",27,,,5,10,5,5,1,1
"Construcción (028)",357,6,,103,198,20,21,6,3
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",971,9,3,293,472,59,63,32,40
"Venta, mant.y rep. veh.autom.y motoc. (030)",171,1,,29,93,16,17,4,11
"Comercio al por mayor (031)",43,2,1,13,17,3,4,3,
"Comercio al por menor (032)",757,6,2,251,362,40,42,25,29
"Hoteles y restaurantes (033)",91,,,30,50,5,4,2,
"Trans., almac. y comunicaciones (034)",619,6,,158,350,54,31,15,5
"Intermediación financiera (035)",17,,,,1,1,2,2,11
"Activid.inmobil., empres. y de alquiler (036)",109,1,,12,31,23,18,6,18
"Admin.pub. y defensa; p. segur.soc.afil (037)",170,1,,8,69,18,42,7,25
"Enseñanza (038)",351,,,1,18,25,193,23,91
"Servicios sociales y de salud (039)",74,,,2,8,12,28,1,23
"Otras activ. serv.comun.soc y personales (040)",105,4,,20,50,12,9,6,4
"Hogares privados con servicio doméstico (041)",23,2,,11,9,,1,,
"Actividad economica no especificada (043)",190,13,,89,59,6,15,1,7
"Mujeres (044)",4442,374,7,2162,1167,156,346,63,167
"Agric., ganadería, caza y silvicultura (045)",1814,269,5,1203,317,10,4,4,2
