"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CAYLLOMA (000)",26880,70639,62815,,1267,88.9,1.8
"De 12 a 14 años (001)",2406,10,10,,2,100,20
"De 15 a 19 años (002)",3438,519,498,156,96,30.1,
"De 20 a 24 años (003)",3264,2884,2803,318,97.2,11,
"De 25 a 29 años (004)",3155,5098,4917,334,96.4,6.6,
"De 30 a 34 años (005)",2756,6367,6170,223,96.9,3.5,
"De 35 a 39 años (006)",2433,7541,7193,162,95.4,2.1,
"De 40 a 44 años (007)",2146,8337,7761,57,93.1,0.7,
"De 45 a 49 años (008)",1643,7511,6880,15,91.6,0.2,
"De 50 y más años (009)",5639,32372,26583,,82.1,,
"Conviviente (010)",7893,18998,17910,856,94.3,4.5,
"De 12 a 14 años (011)",23,4,4,,100,,
"De 15 a 19 años (012)",608,383,364,123,95,32.1,
"De 20 a 24 años (013)",1690,2127,2073,256,97.5,12,
"De 25 a 29 años (014)",1771,3320,3199,238,96.4,7.2,
"De 30 a 34 años (015)",1295,3202,3120,134,97.4,4.2,
"De 35 a 39 años (016)",989,3152,3018,79,95.7,2.5,
"De 40 a 44 años (017)",604,2343,2222,20,94.8,0.9,
"De 45 a 49 años (018)",361,1620,1453,6,89.7,0.4,
"De 50 y más años (019)",552,2847,2457,,86.3,,
"Separado(a) (020)",1008,3205,2983,43,93.1,1.3,
"De 15 a 19 años (022)",26,25,25,8,100,32,
"De 20 a 24 años (023)",98,130,129,8,99.2,6.2,
"De 25 a 29 años (024)",141,257,247,11,96.1,4.3,
"De 30 a 34 años (025)",149,299,293,8,98,2.7,
"De 35 a 39 años (026)",141,426,410,4,96.2,0.9,
"De 40 a 44 años (027)",116,405,382,4,94.3,1,
"De 45 a 49 años (028)",98,441,406,,92.1,,
"De 50 y más años (029)",239,1222,1091,,89.3,,
"Casado(a) (030)",8284,37063,32799,287,88.5,0.8,
"De 12 a 14 años (031)",3,,,,,,
"De 15 a 19 años (032)",25,31,30,4,96.8,12.9,
"De 20 a 24 años (033)",229,365,351,24,96.2,6.6,
"De 25 a 29 años (034)",569,1186,1144,71,96.5,6,
"De 30 a 34 años (035)",927,2532,2435,75,96.2,3,
"De 35 a 39 años (036)",1052,3580,3397,75,94.9,2.1,
"De 40 a 44 años (037)",1192,4965,4603,30,92.7,0.6,
