"CUADRO Nº 15: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia CASTILLA (000)",17015,2293,6868,5364,361,1373,220,536
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",68,65,,,3,,,
"Profes., científicos e intelectuales (002)",832,746,,77,9,,,
"Técnicos de nivel medio y trab. asimilados (003)",567,375,,153,32,5,2,
"Jefes y empleados de oficina (004)",384,384,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1415,248,46,931,40,149,1,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",3154,4,4,2900,245,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1583,,1249,306,13,15,,
"Obreros construc.,conf.,papel, fab., instr. (008)",1132,79,626,410,7,10,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",7018,281,4902,477,4,1137,217,
"Otra (010)",84,84,,,,,,
"Ocupaciñn no especificada (011)",242,27,41,110,8,56,,
"Desocupado (012)",536,,,,,,,536
"Hombres (013)",11870,1308,5567,3689,277,623,22,384
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",50,47,,,3,,,
"Profes., científicos e intelectuales (015)",375,331,,37,7,,,
"Técnicos de nivel medio y trab. asimilados (016)",377,271,,86,17,3,,
"Jefes y empleados de oficina (017)",197,197,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",489,138,30,291,12,18,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",2629,4,3,2409,212,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",1482,,1223,237,12,10,,
"Obreros construc.,conf.,papel, fab., instr. (021)",1116,79,621,400,7,9,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (022)",4607,150,3668,190,2,575,22,
"Otra (023)",83,83,,,,,,
"Ocupaciñn no especificada (024)",81,8,22,39,5,7,,
"Desocupado (025)",384,,,,,,,384
"Mujeres (026)",5145,985,1301,1675,84,750,198,152
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",18,18,,,,,,
"Profes., científicos e intelectuales (028)",457,415,,40,2,,,
"Técnicos de nivel medio y trab. asimilados (029)",190,104,,67,15,2,2,
"Jefes y empleados de oficina (030)",187,187,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",926,110,16,640,28,131,1,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",525,,1,491,33,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",101,,26,69,1,5,,
"Obreros construc.,conf.,papel, fab., instr. (034)",16,,5,10,,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (035)",2411,131,1234,287,2,562,195,
"Otra (036)",1,1,,,,,,
"Ocupaciñn no especificada (037)",161,19,19,71,3,49,,
"Desocupado (038)",152,,,,,,,152
,,,,,,,,
"URBANA (039)",9806,1781,3477,3179,186,691,154,338
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",57,54,,,3,,,
"Profes., científicos e intelectuales (041)",665,592,,65,8,,,
"Técnicos de nivel medio y trab. asimilados (042)",450,295,,123,27,5,,
"Jefes y empleados de oficina (043)",291,291,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",1106,160,20,759,35,131,1,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",1333,,2,1242,89,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",1141,,893,224,12,12,,
"Obreros construc.,conf.,papel, fab., instr. (047)",790,63,417,295,5,10,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (048)",3389,234,2120,384,4,494,153,
"Otra (049)",69,69,,,,,,
"Ocupaciñn no especificada (050)",177,23,25,87,3,39,,
"Desocupado (051)",338,,,,,,,338
"Hombres (052)",6432,964,2821,1980,127,298,12,230
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",42,39,,,3,,,
"Profes., científicos e intelectuales (054)",292,256,,30,6,,,
"Técnicos de nivel medio y trab. asimilados (055)",294,207,,69,15,3,,
"Jefes y empleados de oficina (056)",134,134,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",348,71,12,237,11,17,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",1070,,1,995,74,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",1058,,869,171,11,7,,
"Obreros construc.,conf.,papel, fab., instr. (060)",778,63,413,288,5,9,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (061)",2049,120,1507,153,2,255,12,
"Otra (062)",68,68,,,,,,
"Ocupaciñn no especificada (063)",69,6,19,37,,7,,
"Desocupado (064)",230,,,,,,,230
"Mujeres (065)",3374,817,656,1199,59,393,142,108
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",15,15,,,,,,
"Profes., científicos e intelectuales (067)",373,336,,35,2,,,
"Técnicos de nivel medio y trab. asimilados (068)",156,88,,54,12,2,,
"Jefes y empleados de oficina (069)",157,157,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",758,89,8,522,24,114,1,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",263,,1,247,15,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",83,,24,53,1,5,,
"Obreros construc.,conf.,papel, fab., instr. (073)",12,,4,7,,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (074)",1340,114,613,231,2,239,141,
"Otra (075)",1,1,,,,,,
"Ocupaciñn no especificada (076)",108,17,6,50,3,32,,
"Desocupado (077)",108,,,,,,,108
,,,,,,,,
"RURAL (078)",7209,512,3391,2185,175,682,66,198
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",11,11,,,,,,
"Profes., científicos e intelectuales (080)",167,154,,12,1,,,
"Técnicos de nivel medio y trab. asimilados (081)",117,80,,30,5,,2,
"Jefes y empleados de oficina (082)",93,93,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",309,88,26,172,5,18,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",1821,4,2,1658,156,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",442,,356,82,1,3,,
"Obreros construc.,conf.,papel, fab., instr. (086)",342,16,209,115,2,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (087)",3629,47,2782,93,,643,64,
"Otra (088)",15,15,,,,,,
"Ocupaciñn no especificada (089)",65,4,16,23,5,17,,
"Desocupado (090)",198,,,,,,,198
"Hombres (091)",5438,344,2746,1709,150,325,10,154
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",8,8,,,,,,
"Profes., científicos e intelectuales (093)",83,75,,7,1,,,
"Técnicos de nivel medio y trab. asimilados (094)",83,64,,17,2,,,
"Jefes y empleados de oficina (095)",63,63,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",141,67,18,54,1,1,,
