"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia SANTA (000)",89198,392074,82681,366116,6517,25958
"Casa independiente (001)",83754,373504,77592,348607,6162,24897
"Departamento en edificio (002)",954,3342,954,3342,,
"Vivienda en quinta (003)",482,1734,482,1734,,
"Vivienda en casa de vecindad (004)",367,1408,367,1408,,
"Choza o cabaña (005)",352,1053,,,352,1053
"Vivienda improvisada (006)",3155,10701,3155,10701,,
"Local no dest.para hab. humana (007)",125,297,122,289,3,8
"Otro tipo (008)",9,35,9,35,,
