"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia MOYOBAMBA (000)",41625,1901,69,19865,12428,1411,3124,782,2045
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",79,,,2,12,7,20,7,31
"Profes., científicos e intelectuales (002)",2939,,,,67,156,1205,258,1253
"Técnicos de nivel medio ytrab.asimilados (003)",1100,1,,40,215,167,485,68,124
"Jefes y empleados de oficina (004)",1340,,,16,403,180,410,107,224
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",4273,102,6,1445,1891,269,330,101,129
"Agricult.trabaj. calif.agrop. y pesquros (006)",14285,983,23,9716,3287,100,90,47,39
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",1690,24,3,465,846,106,155,33,58
"Obreros. construc., conf., papel, fab., instr (008)",2905,18,4,870,1585,166,147,63,52
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",11816,684,30,6808,3783,210,170,59,72
"Otra (010)",177,,,,57,11,67,21,21
"Ocupación no especificada (011)",1021,89,3,503,282,39,45,18,42
"Hombres (012)",30652,1205,53,15560,9512,827,1677,533,1285
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",54,,,1,10,5,12,6,20
"Profes., científicos e intelectuales (014)",1609,,,,27,79,587,166,750
"Técnicos de nivel medio ytrab.asimilados (015)",690,,,25,149,115,280,48,73
"Jefes y empleados de oficina (016)",603,,,8,214,52,136,53,140
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",1757,14,2,499,863,105,138,60,76
"Agricult.trabaj. calif.agrop. y pesquros (018)",13365,815,22,9124,3143,95,85,46,35
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",1400,18,3,367,710,88,133,29,52
"Obreros. construc., conf., papel, fab., instr (020)",2845,15,4,851,1562,163,141,59,50
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",7811,337,21,4548,2644,99,85,35,42
"Otra (022)",167,,,,55,11,61,20,20
"Ocupación no especificada (023)",351,6,1,137,135,15,19,11,27
"Mujeres (024)",10973,696,16,4305,2916,584,1447,249,760
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",25,,,1,2,2,8,1,11
"Profes., científicos e intelectuales (026)",1330,,,,40,77,618,92,503
"Técnicos de nivel medio ytrab.asimilados (027)",410,1,,15,66,52,205,20,51
"Jefes y empleados de oficina (028)",737,,,8,189,128,274,54,84
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",2516,88,4,946,1028,164,192,41,53
"Agricult.trabaj. calif.agrop. y pesquros (030)",920,168,1,592,144,5,5,1,4
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",290,6,,98,136,18,22,4,6
"Obreros. construc., conf., papel, fab., instr (032)",60,3,,19,23,3,6,4,2
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",4005,347,9,2260,1139,111,85,24,30
"Otra (034)",10,,,,2,,6,1,1
"Ocupación no especificada (035)",670,83,2,366,147,24,26,7,15
,,,,,,,,,
"URBANA (036)",26273,702,23,9303,9163,1310,3017,745,2010
