"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia UCAYALI (000)",55783,4016,7942,8486,6749,9252,7265,9850,2223
"Sin nivel (001)",5822,4016,600,61,68,98,133,520,326
"Educación inicial (002)",1914,,1865,22,5,13,9,,
"Primaria (003)",26556,,5477,6062,1650,2795,3068,5815,1689
"Secundaria (004)",17265,,,2341,4795,4727,2849,2387,166
"Superior no univ. incompleto (005)",1141,,,,162,477,244,247,11
"Superior no univ. completo (006)",1702,,,,,610,581,501,10
"Superior univ. incompleto (007)",552,,,,69,268,106,103,6
"Superior univ. completo (008)",831,,,,,264,275,277,15
"Hombres (010)",29446,2033,3992,4358,3439,4780,3874,5674,1296
"Sin nivel (011)",2736,2033,295,27,31,38,43,156,113
"Educación inicial (012)",969,,943,13,4,6,3,,
"Primaria (013)",13494,,2754,3142,801,1269,1390,3092,1046
"Secundaria (014)",9757,,,1176,2507,2593,1688,1688,105
"Superior no univ. incompleto (015)",670,,,,63,256,160,182,9
"Superior no univ. completo (016)",953,,,,,311,350,286,6
"Superior univ. incompleto (017)",348,,,,33,160,67,83,5
"Superior univ. completo (018)",519,,,,,147,173,187,12
"Mujeres (020)",26337,1983,3950,4128,3310,4472,3391,4176,927
"Sin nivel (021)",3086,1983,305,34,37,60,90,364,213
"Educación inicial (022)",945,,922,9,1,7,6,,
"Primaria (023)",13062,,2723,2920,849,1526,1678,2723,643
"Secundaria (024)",7508,,,1165,2288,2134,1161,699,61
"Superior no univ. incompleto (025)",471,,,,99,221,84,65,2
"Superior no univ. completo (026)",749,,,,,299,231,215,4
"Superior univ. incompleto (027)",204,,,,36,108,39,20,1
"Superior univ. completo (028)",312,,,,,117,102,90,3
,,,,,,,,,
"URBANA (030)",30917,1949,4004,4654,3991,5147,4088,5729,1355
"Sin nivel (031)",2656,1949,294,31,26,33,45,138,140
"Educación inicial (032)",1043,,1005,16,3,12,7,,
"Primaria (033)",12585,,2705,3019,597,1012,1295,2918,1039
"Secundaria (034)",11264,,,1588,3157,2807,1835,1739,138
"Superior no univ. incompleto (035)",913,,,,144,391,178,190,10
