"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LIMA (000)",3286770,1893131,347188,402689,643762
"Hombres (001)",1947635,1081252,220487,242764,403132
"Mujeres (002)",1339135,811879,126701,159925,240630
"De 06 a 14 años (003)",19394,16634,1745,735,280
"Hombres (004)",11111,9337,1131,463,180
"Mujeres (005)",8283,7297,614,272,100
"De 15 a 29 años (006)",1141672,626113,152316,162263,200980
"Hombres (007)",650707,341326,93975,96031,119375
"Mujeres (008)",490965,284787,58341,66232,81605
"De 30 a 44 años (009)",1246213,687631,124604,158372,275606
"Hombres (010)",733625,389773,77841,93496,172515
"Mujeres (011)",512588,297858,46763,64876,103091
"De 45 a 64 años (012)",782778,488790,61898,75115,156975
"Hombres (013)",483928,290195,42425,48084,103224
"Mujeres (014)",298850,198595,19473,27031,53751
"De 65 y más años (015)",96713,73963,6625,6204,9921
"Hombres (016)",68264,50621,5115,4690,7838
"Mujeres (017)",28449,23342,1510,1514,2083
,,,,,
"URBANA (018)",3282559,1890175,346533,402283,643568
"Hombres (019)",1944637,1079204,220007,242426,403000
"Mujeres (020)",1337922,810971,126526,159857,240568
"De 06 a 14 años (021)",19339,16595,1734,730,280
"Hombres (022)",11074,9311,1123,460,180
"Mujeres (023)",8265,7284,611,270,100
"De 15 a 29 años (024)",1140121,625149,152015,162064,200893
"Hombres (025)",649614,340664,93760,95873,119317
"Mujeres (026)",490507,284485,58255,66191,81576
"De 30 a 44 años (027)",1244731,686608,124368,158226,275529
"Hombres (028)",732567,389074,77667,93365,172461
"Mujeres (029)",512164,297534,46701,64861,103068
"De 45 a 64 años (030)",781891,488073,61805,75066,156947
"Hombres (031)",483296,289693,42355,48044,103204
"Mujeres (032)",298595,198380,19450,27022,53743
"De 65 y más años (033)",96477,73750,6611,6197,9919
"Hombres (034)",68086,50462,5102,4684,7838
"Mujeres (035)",28391,23288,1509,1513,2081
,,,,,
"RURAL (036)",4211,2956,655,406,194
"Hombres (037)",2998,2048,480,338,132
"Mujeres (038)",1213,908,175,68,62
"De 06 a 14 años (039)",55,39,11,5,
"Hombres (040)",37,26,8,3,
"Mujeres (041)",18,13,3,2,
"De 15 a 29 años (042)",1551,964,301,199,87
"Hombres (043)",1093,662,215,158,58
"Mujeres (044)",458,302,86,41,29
"De 30 a 44 años (045)",1482,1023,236,146,77
"Hombres (046)",1058,699,174,131,54
"Mujeres (047)",424,324,62,15,23
"De 45 a 64 años (048)",887,717,93,49,28
"Hombres (049)",632,502,70,40,20
"Mujeres (050)",255,215,23,9,8
"De 65 y más años (051)",236,213,14,7,2
"Hombres (052)",178,159,13,6,
"Mujeres (053)",58,54,1,1,2
