"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ACOMAYO (000)",7633,1139,13,3407,2172,162,421,77,242
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",33,,,3,8,1,11,2,8
"Profes., científicos e intelectuales (002)",382,,,,23,18,166,21,154
"Técnicos de nivel medio ytrab.asimilados (003)",87,,,5,11,13,44,6,8
"Jefes y empleados de oficina (004)",80,,,1,30,3,23,10,13
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",404,35,,145,168,17,26,6,7
"Agricult.trabaj. calif.agrop. y pesquros (006)",3437,594,7,1844,873,39,51,10,19
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",181,19,,58,79,7,16,1,1
"Obreros. construc., conf., papel, fab., instr (008)",316,4,,108,161,13,18,5,7
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",2395,411,4,1120,753,39,39,13,16
"Otra (010)",29,,,,2,1,20,3,3
"Ocupación no especificada (011)",289,76,2,123,64,11,7,,6
"Hombres (012)",5093,367,5,2397,1683,131,291,60,159
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",28,,,1,7,1,11,2,6
"Profes., científicos e intelectuales (014)",223,,,,9,9,93,16,96
"Técnicos de nivel medio ytrab.asimilados (015)",50,,,4,6,9,25,3,3
"Jefes y empleados de oficina (016)",47,,,1,18,2,12,5,9
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",131,5,,33,63,9,15,4,2
"Agricult.trabaj. calif.agrop. y pesquros (018)",2749,270,3,1585,781,36,47,10,17
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",155,10,,55,70,6,13,,1
"Obreros. construc., conf., papel, fab., instr (020)",306,3,,101,159,13,18,5,7
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",1268,70,1,571,531,35,35,12,13
"Otra (022)",29,,,,2,1,20,3,3
"Ocupación no especificada (023)",107,9,1,46,37,10,2,,2
"Mujeres (024)",2540,772,8,1010,489,31,130,17,83
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",5,,,2,1,,,,2
"Profes., científicos e intelectuales (026)",159,,,,14,9,73,5,58
"Técnicos de nivel medio ytrab.asimilados (027)",37,,,1,5,4,19,3,5
"Jefes y empleados de oficina (028)",33,,,,12,1,11,5,4
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",273,30,,112,105,8,11,2,5
"Agricult.trabaj. calif.agrop. y pesquros (030)",688,324,4,259,92,3,4,,2
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",26,9,,3,9,1,3,1,
"Obreros. construc., conf., papel, fab., instr (032)",10,1,,7,2,,,,
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",1127,341,3,549,222,4,4,1,3
"Ocupación no especificada (035)",182,67,1,77,27,1,5,,4
,,,,,,,,,
"URBANA (036)",4486,628,8,1812,1319,111,348,63,197
"Miembros p.ejec. y leg.direct., adm.pub.y emp (037)",29,,,2,8,,10,1,8
"Profes., científicos e intelectuales (038)",316,,,,13,12,141,16,134
"Técnicos de nivel medio ytrab.asimilados (039)",69,,,2,7,10,39,6,5
