"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia AMBO (000)",15878,14119,859,289,611
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",36,1,2,1,32
"Profes., científicos e intelectuales (002)",532,122,66,76,268
"Técnicos de nivel medio y trab. asimilados (003)",200,99,27,17,57
"Jefes y empleados de oficina (004)",156,32,13,26,85
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1072,1013,41,8,10
"Agricult.trabaj.calif.agrop.y pesqueros (006)",7205,7011,193,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",489,391,50,20,28
"Obreros construc.,conf.,papel, fab., instr. (008)",830,705,67,32,26
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",5044,4493,381,104,66
"Otra (010)",29,,,,29
"Ocupación no especificada (011)",285,252,19,4,10
"Hombres (012)",12941,11607,698,240,396
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",25,,2,1,22
"Profes., científicos e intelectuales (014)",305,70,36,48,151
"Técnicos de nivel medio y trab. asimilados (015)",129,67,21,16,25
"Jefes y empleados de oficina (016)",72,9,3,16,44
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",437,403,19,7,8
"Agricult.trabaj.calif.agrop.y pesqueros (018)",6901,6719,181,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",423,329,47,19,28
"Obreros construc.,conf.,papel, fab., instr. (020)",821,696,67,32,26
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",3717,3248,316,97,56
"Otra (022)",28,,,,28
"Ocupación no especificada (023)",83,66,6,3,8
"Mujeres (024)",2937,2512,161,49,215
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",11,1,,,10
"Profes., científicos e intelectuales (026)",227,52,30,28,117
"Técnicos de nivel medio y trab. asimilados (027)",71,32,6,1,32
"Jefes y empleados de oficina (028)",84,23,10,10,41
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",635,610,22,1,2
"Agricult.trabaj.calif.agrop.y pesqueros (030)",304,292,12,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",66,62,3,1,
"Obreros construc.,conf.,papel, fab., instr. (032)",9,9,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",1327,1245,65,7,10
"Otra (034)",1,,,,1
