"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LUCANAS (000)",23580,18693,2541,1288,1058
"Sin nivel (001)",2348,2239,89,16,4
"Educación inicial (002)",23,19,3,1,
"Primaria (003)",7197,6541,428,147,81
"Secundaria (004)",8570,7008,922,365,275
"Superior no univ. incompleta (005)",997,727,143,64,63
"Superior no univ. completa (006)",2500,1280,515,371,334
"Superior univ. incompleta (007)",477,308,86,35,48
"Superior univ. completa (008)",1468,571,355,289,253
"De 06 a 14 años (010)",433,401,31,1,
"Sin nivel (011)",13,13,,,
"Educación inicial (012)",7,5,2,,
"Primaria (013)",267,252,15,,
"Secundaria (014)",146,131,14,1,
"De 15 a 29 años (020)",6391,4849,881,413,248
"Sin nivel (021)",99,92,4,2,1
"Educación inicial (022)",5,4,,1,
"Primaria (023)",1006,847,93,53,13
"Secundaria (024)",3629,2862,481,208,78
"Superior no univ. incompleta (025)",441,334,64,22,21
"Superior no univ. completa (026)",775,469,144,87,75
"Superior univ. incompleta (027)",159,108,31,7,13
"Superior univ. completa (028)",277,133,64,33,47
"De 30 a 44 años (030)",7729,5665,1011,552,501
"Sin nivel (031)",321,304,13,3,1
"Educación inicial (032)",11,10,1,,
"Primaria (033)",1920,1695,150,46,29
"Secundaria (034)",2884,2385,285,102,112
"Superior no univ. incompleta (035)",381,273,60,28,20
"Superior no univ. completa (036)",1305,625,279,210,191
"Superior univ. incompleta (037)",173,98,39,19,17
"Superior univ. completa (038)",734,275,184,144,131
"De 45 a 64 años (040)",6186,5069,526,302,289
"Sin nivel (041)",912,859,41,10,2
"Primaria (043)",2478,2295,118,35,30
"Secundaria (044)",1679,1416,136,50,77
"Superior no univ. incompleta (045)",162,110,18,14,20
"Superior no univ. completa (046)",393,161,91,73,68
"Superior univ. incompleta (047)",133,90,16,9,18
"Superior univ. completa (048)",429,138,106,111,74
"De 65 y más años (050)",2841,2709,92,20,20
"Sin nivel (051)",1003,971,31,1,
"Primaria (053)",1526,1452,52,13,9
"Secundaria (054)",232,214,6,4,8
"Superior no univ. incompleta (055)",13,10,1,,2
"Superior no univ. completa (056)",27,25,1,1,
"Superior univ. incompleta (057)",12,12,,,
"Superior univ. completa (058)",28,25,1,1,1
,,,,,
