"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia LA CONVENCION (000)",163558,48050,115508
"Casa independiente (001)",140421,34935,105486
"Departamento en edificio (002)",481,481,
"Vivienda en quinta (003)",1669,1669,
"Vivienda en casa de vecindad (004)",9611,9611,
"Choza o cabaña (005)",9889,,9889
"Vivienda improvisada (006)",1205,1205,
"Local no dest.para hab. humana (007)",180,99,81
"Otro tipo (008)",102,50,52
