"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia OYON (000)",252,75,177
"Sin nivel (001)",15,2,13
"Primaria (003)",45,10,35
"Secundaria (004)",121,42,79
"Superior no univ. incompleta (005)",23,6,17
"Superior no univ. completa (006)",21,8,13
"Superior univ. incompleta (007)",10,4,6
"Superior univ. completa (008)",17,3,14
"Hombres (010)",201,50,151
"Sin nivel (011)",13,2,11
"Primaria (013)",39,7,32
"Secundaria (014)",97,28,69
"Superior no univ. incompleta (015)",17,4,13
"Superior no univ. completa (016)",18,6,12
"Superior univ. incompleta (017)",7,3,4
"Superior univ. completa (018)",10,,10
"Mujeres (020)",51,25,26
"Sin nivel (021)",2,,2
"Primaria (023)",6,3,3
"Secundaria (024)",24,14,10
"Superior no univ. incompleta (025)",6,2,4
"Superior no univ. completa (026)",3,2,1
"Superior univ. incompleta (027)",3,1,2
"Superior univ. completa (028)",7,3,4
,,,
"AREA URBANA (030)",166,45,121
"Sin nivel (031)",6,1,5
"Primaria (033)",25,4,21
"Secundaria (034)",81,24,57
"Superior no univ. incompleta (035)",17,6,11
"Superior no univ. completa (036)",13,4,9
"Superior univ. incompleta (037)",9,3,6
"Superior univ. completa (038)",15,3,12
"Hombres (040)",129,28,101
"Sin nivel (041)",5,1,4
"Primaria (043)",20,2,18
"Secundaria (044)",68,16,52
"Superior no univ. incompleta (045)",11,4,7
"Superior no univ. completa (046)",11,3,8
"Superior univ. incompleta (047)",6,2,4
"Superior univ. completa (048)",8,,8
"Mujeres (050)",37,17,20
"Sin nivel (051)",1,,1
"Primaria (053)",5,2,3
"Secundaria (054)",13,8,5
"Superior no univ. incompleta (055)",6,2,4
"Superior no univ. completa (056)",2,1,1
"Superior univ. incompleta (057)",3,1,2
"Superior univ. completa (058)",7,3,4
,,,
"AREA RURAL (060)",86,30,56
"Sin nivel (061)",9,1,8
"Primaria (063)",20,6,14
"Secundaria (064)",40,18,22
"Superior no univ. incompleta (065)",6,,6
"Superior no univ. completa (066)",8,4,4
"Superior univ. incompleta (067)",1,1,
"Superior univ. completa (068)",2,,2
"Hombres (070)",72,22,50
"Sin nivel (071)",8,1,7
"Primaria (073)",19,5,14
"Secundaria (074)",29,12,17
"Superior no univ. incompleta (075)",6,,6
"Superior no univ. completa (076)",7,3,4
"Superior univ. incompleta (077)",1,1,
"Superior univ. completa (078)",2,,2
"Mujeres (080)",14,8,6
"Sin nivel (081)",1,,1
"Primaria (083)",1,1,
"Secundaria (084)",11,6,5
"Superior no univ. completa (086)",1,1,
