"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia NAZCA (000)",16357,14908,18,3657,3675,2630,2780,1348,586,214,1449,46926
"De 12 a 14 años (001)",25,10,1,8,1,,,,,,15,10
"De 15 a 19 años (002)",377,295,,262,26,5,2,,,,82,337
"De 20 a 24 años (003)",1642,1191,2,862,272,39,14,2,,,451,1593
"De 25 a 29 años (004)",2129,1736,3,848,626,194,60,4,1,,393,2965
"De 30 a 34 años (005)",2260,2062,,624,796,426,191,20,4,1,198,4472
"De 35 a 39 años (006)",1991,1906,4,317,650,497,348,80,5,5,85,5202
"De 40 a 44 años (007)",1798,1731,3,247,463,414,451,126,25,2,67,5397
"De 45 a 49 años (008)",1430,1389,1,142,290,363,386,158,41,8,41,4936
"De 50 y más años (009)",4705,4588,4,347,551,692,1328,958,510,198,117,22014
"Sin nivel (010)",1183,1140,1,67,104,124,301,304,174,65,43,6101
"De 15 a 19 años (012)",5,5,,1,2,1,1,,,,,12
"De 20 a 24 años (013)",9,4,,2,1,,1,,,,5,9
"De 25 a 29 años (014)",18,10,,2,2,5,,,1,,8,30
"De 30 a 34 años (015)",30,22,,7,5,4,5,1,,,8,56
"De 35 a 39 años (016)",48,43,,4,6,10,14,7,1,1,5,172
"De 40 a 44 años (017)",57,53,,3,9,9,15,11,5,1,4,243
"De 45 a 49 años (018)",71,70,,5,5,7,23,21,7,2,1,351
"De 50 y más años (019)",945,933,1,43,74,88,242,264,160,61,12,5228
"Educacion Inicial (020)",16,11,,2,4,3,2,,,,5,28
"De 20 a 24 años (023)",2,2,,,2,,,,,,,4
"De 25 a 29 años (024)",8,5,,1,2,1,1,,,,3,12
"De 30 a 34 años (025)",5,3,,1,,1,1,,,,2,9
