"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ANGARAES (000)",10966,8743,732,507,984
"Hombres (001)",7889,6192,507,352,838
"Mujeres (002)",3077,2551,225,155,146
"De 06 a 14 años (003)",258,236,16,6,
"Hombres (004)",132,123,9,,
"Mujeres (005)",126,113,7,6,
"De 15 a 29 años (006)",3191,2493,204,168,326
"Hombres (007)",2278,1750,138,116,274
"Mujeres (008)",913,743,66,52,52
"De 30 a 44 años (009)",3748,2753,336,215,444
"Hombres (010)",2720,1977,221,145,377
"Mujeres (011)",1028,776,115,70,67
"De 45 a 64 años (012)",2918,2440,159,112,207
"Hombres (013)",2165,1774,123,86,182
"Mujeres (014)",753,666,36,26,25
"De 65 y más años (015)",851,821,17,6,7
"Hombres (016)",594,568,16,5,5
"Mujeres (017)",257,253,1,1,2
,,,,,
"URBANA (018)",4719,3335,460,352,572
"Hombres (019)",2970,2021,281,217,451
"Mujeres (020)",1749,1314,179,135,121
"De 06 a 14 años (021)",150,131,13,6,
"Hombres (022)",72,64,8,,
"Mujeres (023)",78,67,5,6,
"De 15 a 29 años (024)",1286,896,115,103,172
"Hombres (025)",794,542,61,58,133
"Mujeres (026)",492,354,54,45,39
"De 30 a 44 años (027)",1690,1054,221,154,261
"Hombres (028)",1057,627,133,94,203
"Mujeres (029)",633,427,88,60,58
"De 45 a 64 años (030)",1257,936,102,84,135
"Hombres (031)",845,601,71,61,112
"Mujeres (032)",412,335,31,23,23
"De 65 y más años (033)",336,318,9,5,4
"Hombres (034)",202,187,8,4,3
"Mujeres (035)",134,131,1,1,1
,,,,,
"RURAL (036)",6247,5408,272,155,412
"Hombres (037)",4919,4171,226,135,387
"Mujeres (038)",1328,1237,46,20,25
"De 06 a 14 años (039)",108,105,3,,
"Hombres (040)",60,59,1,,
"Mujeres (041)",48,46,2,,
"De 15 a 29 años (042)",1905,1597,89,65,154
"Hombres (043)",1484,1208,77,58,141
"Mujeres (044)",421,389,12,7,13
"De 30 a 44 años (045)",2058,1699,115,61,183
"Hombres (046)",1663,1350,88,51,174
"Mujeres (047)",395,349,27,10,9
"De 45 a 64 años (048)",1661,1504,57,28,72
"Hombres (049)",1320,1173,52,25,70
"Mujeres (050)",341,331,5,3,2
"De 65 y más años (051)",515,503,8,1,3
"Hombres (052)",392,381,8,1,2
"Mujeres (053)",123,122,,,1
