"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia TALARA (000)",42433,88,3625,2939,2151,7096,2855,5681,6385,10116,356,1141
"Agric., ganadería, caza y silvicultura (001)",449,,5,9,3,,185,2,6,239,,
"Pesca (002)",4988,,11,24,14,,2670,15,56,2198,,
"Explotación de minas y canteras (003)",2276,7,302,368,195,,,1153,157,94,,
"Industrias manufactureras (004)",3033,5,51,137,58,32,,2366,193,191,,
"Suministro de electricidad, gas y agua (005)",192,,19,29,27,,,48,26,43,,
"Construcción (006)",3490,2,97,154,41,,,559,1780,857,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",7792,4,93,449,112,4259,,1229,141,1505,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",1334,1,22,65,23,122,,991,87,23,,
"Comercio al por mayor (009)",463,1,12,66,19,296,,1,14,54,,
"Comercio al por menor (010)",5995,2,59,318,70,3841,,237,40,1428,,
"Hoteles y restaurantes (011)",2643,1,75,117,91,1482,,1,10,866,,
"Trans., almac. y comunicaciones (012)",5234,4,73,263,285,11,,121,3763,714,,
"Intermediación financiera (013)",213,3,21,49,130,,,,1,9,,
"Activid.inmobil., empres. y alquileres (014)",3921,9,569,667,552,926,,132,144,922,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",1616,27,120,117,340,196,,6,74,380,356,
"Enseñanza (016)",1888,24,1780,18,43,,,,,23,,
"Servicios sociales y de salud (017)",604,,271,239,38,21,,14,7,14,,
"Otras activ. serv.comun.soc y personales (018)",1887,2,131,264,167,169,,35,27,1092,,
"Hogares privados con servicio doméstico (019)",966,,,,,,,,,966,,
"Actividad economica no especificada (021)",1241,,7,35,55,,,,,3,,1141
"Hombres (022)",30890,60,1752,2042,1023,3771,2795,5225,6237,7029,341,615
"Agric., ganadería, caza y silvicultura (023)",409,,5,9,2,,170,2,5,216,,
"Pesca (024)",4876,,9,22,9,,2625,14,55,2142,,
"Explotación de minas y canteras (025)",2161,7,277,345,150,,,1141,154,87,,
"Industrias manufactureras (026)",2466,4,39,95,39,20,,1978,140,151,,
"Suministro de electricidad, gas y agua (027)",175,,19,27,18,,,48,25,38,,
"Construcción (028)",3400,2,86,145,24,,,549,1759,835,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",4626,4,51,287,47,2064,,1201,138,834,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",1252,1,19,55,11,89,,970,85,22,,
"Comercio al por mayor (031)",297,1,6,39,9,175,,1,14,52,,
"Comercio al por menor (032)",3077,2,26,193,27,1800,,230,39,760,,
"Hoteles y restaurantes (033)",973,1,37,57,28,550,,,10,290,,
"Trans., almac. y comunicaciones (034)",4891,3,51,197,160,4,,119,3717,640,,
"Intermediación financiera (035)",90,3,4,17,59,,,,1,6,,
"Activid.inmobil., empres. y alquileres (036)",3040,6,404,473,228,888,,126,138,777,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",1124,16,62,62,178,161,,3,63,238,341,
"Enseñanza (038)",558,12,506,13,10,,,,,17,,
"Servicios sociales y de salud (039)",202,,101,64,5,2,,14,7,9,,
"Otras activ. serv.comun.soc y personales (040)",1181,2,96,202,49,82,,30,25,695,,
"Hogares privados con servicio doméstico (041)",52,,,,,,,,,52,,
"Actividad economica no especificada (043)",666,,5,27,17,,,,,2,,615
"Mujeres (044)",11543,28,1873,897,1128,3325,60,456,148,3087,15,526
"Agric., ganadería, caza y silvicultura (045)",40,,,,1,,15,,1,23,,
"Pesca (046)",112,,2,2,5,,45,1,1,56,,
"Explotación de minas y canteras (047)",115,,25,23,45,,,12,3,7,,
"Industrias manufactureras (048)",567,1,12,42,19,12,,388,53,40,,
"Suministro de electricidad, gas y agua (049)",17,,,2,9,,,,1,5,,
"Construcción (050)",90,,11,9,17,,,10,21,22,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",3166,,42,162,65,2195,,28,3,671,,
"Venta, mant.y rep. veh.autom.y motoc. (052)",82,,3,10,12,33,,21,2,1,,
"Comercio al por mayor (053)",166,,6,27,10,121,,,,2,,
"Comercio al por menor (054)",2918,,33,125,43,2041,,7,1,668,,
"Hoteles y restaurantes (055)",1670,,38,60,63,932,,1,,576,,
"Trans., almac. y comunicaciones (056)",343,1,22,66,125,7,,2,46,74,,
"Intermediación financiera (057)",123,,17,32,71,,,,,3,,
"Activid.inmobil., empres. y alquileres (058)",881,3,165,194,324,38,,6,6,145,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",492,11,58,55,162,35,,3,11,142,15,
"Enseñanza (060)",1330,12,1274,5,33,,,,,6,,
"Servicios sociales y de salud (061)",402,,170,175,33,19,,,,5,,
"Otras activ. serv.comun.soc y personales (062)",706,,35,62,118,87,,5,2,397,,
"Hogares privados con servicio doméstico (063)",914,,,,,,,,,914,,
"Actividad economica no especificada (065)",575,,2,8,38,,,,,1,,526
,,,,,,,,,,,,
"URBANA (066)",41419,83,3545,2881,2122,7006,2579,5649,6327,9765,338,1124
"Agric., ganadería, caza y silvicultura (067)",310,,5,7,3,,140,2,6,147,,
"Pesca (068)",4658,,11,24,14,,2439,15,53,2102,,
"Explotación de minas y canteras (069)",2266,7,296,367,193,,,1152,157,94,,
"Industrias manufactureras (070)",3001,4,47,132,56,32,,2354,191,185,,
"Suministro de electricidad, gas y agua (071)",192,,19,29,27,,,48,26,43,,
"Construcción (072)",3420,2,87,148,39,,,549,1752,843,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",7689,3,88,444,111,4209,,1221,137,1476,,
"Venta, mant.y rep. veh.autom.y motoc. (074)",1323,1,21,64,23,120,,985,86,23,,
"Comercio al por mayor (075)",451,,12,64,18,291,,1,12,53,,
"Comercio al por menor (076)",5915,2,55,316,70,3798,,235,39,1400,,
"Hoteles y restaurantes (077)",2558,1,68,109,84,1452,,1,8,835,,
"Trans., almac. y comunicaciones (078)",5196,3,71,259,280,11,,120,3745,707,,
"Intermediación financiera (079)",203,2,15,48,128,,,,1,9,,
"Activid.inmobil., empres. y alquileres (080)",3852,9,552,648,550,919,,132,143,899,,
"Admin.pub. y defensa; p. segur.soc.afil (081)",1591,26,118,116,338,196,,6,74,379,338,
"Enseñanza (082)",1876,24,1768,18,43,,,,,23,,
"Servicios sociales y de salud (083)",594,,266,237,36,20,,14,7,14,,
"Otras activ. serv.comun.soc y personales (084)",1847,2,128,260,165,167,,35,27,1063,,
"Hogares privados con servicio doméstico (085)",943,,,,,,,,,943,,
"Actividad economica no especificada (087)",1223,,6,35,55,,,,,3,,1124
"Hombres (088)",30045,56,1707,2007,1009,3708,2521,5196,6181,6729,325,606
"Agric., ganadería, caza y silvicultura (089)",280,,5,7,2,,127,2,5,132,,
"Pesca (090)",4547,,9,22,9,,2394,14,52,2047,,
"Explotación de minas y canteras (091)",2152,7,271,344,149,,,1140,154,87,,
"Industrias manufactureras (092)",2443,4,36,91,38,20,,1969,139,146,,
"Suministro de electricidad, gas y agua (093)",175,,19,27,18,,,48,25,38,,
"Construcción (094)",3334,2,78,140,22,,,539,1732,821,,
