"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia BELLAVISTA (000)",19097,16112,1405,1061,519
"Hombres (001)",14655,12400,1123,781,351
"Mujeres (002)",4442,3712,282,280,168
"De 06 a 14 años (003)",741,628,53,57,3
"Hombres (004)",568,477,43,45,3
"Mujeres (005)",173,151,10,12,
"De 15 a 29 años (006)",6843,5741,546,403,153
"Hombres (007)",5247,4400,438,315,94
"Mujeres (008)",1596,1341,108,88,59
"De 30 a 44 años (009)",6745,5549,516,426,254
"Hombres (010)",5078,4210,413,287,168
"Mujeres (011)",1667,1339,103,139,86
"De 45 a 64 años (012)",3912,3391,251,164,106
"Hombres (013)",3059,2657,196,123,83
"Mujeres (014)",853,734,55,41,23
"De 65 y más años (015)",856,803,39,11,3
"Hombres (016)",703,656,33,11,3
"Mujeres (017)",153,147,6,,
,,,,,
"URBANA (018)",10841,8543,979,851,468
"Hombres (019)",7790,6108,751,615,316
"Mujeres (020)",3051,2435,228,236,152
"De 06 a 14 años (021)",376,301,31,44,
"Hombres (022)",274,215,25,34,
"Mujeres (023)",102,86,6,10,
"De 15 a 29 años (024)",3518,2719,375,294,130
"Hombres (025)",2516,1913,293,229,81
"Mujeres (026)",1002,806,82,65,49
"De 30 a 44 años (027)",4065,3102,364,364,235
"Hombres (028)",2843,2173,275,241,154
"Mujeres (029)",1222,929,89,123,81
"De 45 a 64 años (030)",2418,1988,187,143,100
"Hombres (031)",1794,1471,140,105,78
"Mujeres (032)",624,517,47,38,22
"De 65 y más años (033)",464,433,22,6,3
"Hombres (034)",363,336,18,6,3
"Mujeres (035)",101,97,4,,
,,,,,
"RURAL (036)",8256,7569,426,210,51
"Hombres (037)",6865,6292,372,166,35
"Mujeres (038)",1391,1277,54,44,16
"De 06 a 14 años (039)",365,327,22,13,3
"Hombres (040)",294,262,18,11,3
"Mujeres (041)",71,65,4,2,
"De 15 a 29 años (042)",3325,3022,171,109,23
"Hombres (043)",2731,2487,145,86,13
"Mujeres (044)",594,535,26,23,10
"De 30 a 44 años (045)",2680,2447,152,62,19
"Hombres (046)",2235,2037,138,46,14
"Mujeres (047)",445,410,14,16,5
"De 45 a 64 años (048)",1494,1403,64,21,6
"Hombres (049)",1265,1186,56,18,5
"Mujeres (050)",229,217,8,3,1
"De 65 y más años (051)",392,370,17,5,
"Hombres (052)",340,320,15,5,
"Mujeres (053)",52,50,2,,
