"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia POMABAMBA (000)",353,8,178,82,56,29
"Sin nivel (001)",79,7,17,11,23,21
"Primaria (003)",98,1,46,25,18,8
"Secundaria (004)",94,,63,23,8,
"Superior no univ. incompleta (005)",22,,17,4,1,
"Superior no univ. completa (006)",32,,17,11,4,
"Superior univ. incompleta (007)",8,,7,1,,
"Superior univ. completa (008)",20,,11,7,2,
"Hombres (010)",264,3,123,64,45,29
"Sin nivel (011)",53,2,7,7,16,21
"Primaria (013)",76,1,29,23,15,8
"Secundaria (014)",78,,50,20,8,
"Superior no univ. incompleta (015)",15,,12,2,1,
"Superior no univ. completa (016)",20,,12,5,3,
"Superior univ. incompleta (017)",6,,5,1,,
"Superior univ. completa (018)",16,,8,6,2,
"Mujeres (020)",89,5,55,18,11,
"Sin nivel (021)",26,5,10,4,7,
"Primaria (023)",22,,17,2,3,
"Secundaria (024)",16,,13,3,,
"Superior no univ. incompleta (025)",7,,5,2,,
"Superior no univ. completa (026)",12,,5,6,1,
"Superior univ. incompleta (027)",2,,2,,,
"Superior univ. completa (028)",4,,3,1,,
,,,,,,
"Area Urbana (030)",91,,53,26,9,3
"Sin nivel (031)",8,,3,,3,2
"Primaria (033)",12,,4,5,2,1
"Secundaria (034)",25,,15,9,1,
"Superior no univ. incompleta (035)",15,,11,3,1,
"Superior no univ. completa (036)",16,,8,6,2,
"Superior univ. incompleta (037)",8,,7,1,,
"Superior univ. completa (038)",7,,5,2,,
"Hombres (040)",59,,37,15,4,3
"Sin nivel (041)",3,,1,,,2
"Primaria (043)",9,,3,4,1,1
"Secundaria (044)",19,,12,6,1,
"Superior no univ. incompleta (045)",9,,7,1,1,
"Superior no univ. completa (046)",7,,5,1,1,
"Superior univ. incompleta (047)",6,,5,1,,
"Superior univ. completa (048)",6,,4,2,,
"Mujeres (050)",32,,16,11,5,
"Sin nivel (051)",5,,2,,3,
"Primaria (053)",3,,1,1,1,
"Secundaria (054)",6,,3,3,,
"Superior no univ. incompleta (055)",6,,4,2,,
"Superior no univ. completa (056)",9,,3,5,1,
"Superior univ. incompleta (057)",2,,2,,,
"Superior univ. completa (058)",1,,1,,,
,,,,,,
"Area Rural (060)",262,8,125,56,47,26
"Sin nivel (061)",71,7,14,11,20,19
"Primaria (063)",86,1,42,20,16,7
"Secundaria (064)",69,,48,14,7,
"Superior no univ. incompleta (065)",7,,6,1,,
"Superior no univ. completa (066)",16,,9,5,2,
"Superior univ. completa (068)",13,,6,5,2,
"Hombres (070)",205,3,86,49,41,26
"Sin nivel (071)",50,2,6,7,16,19
"Primaria (073)",67,1,26,19,14,7
"Secundaria (074)",59,,38,14,7,
"Superior no univ. incompleta (075)",6,,5,1,,
"Superior no univ. completa (076)",13,,7,4,2,
"Superior univ. completa (078)",10,,4,4,2,
"Mujeres (080)",57,5,39,7,6,
"Sin nivel (081)",21,5,8,4,4,
"Primaria (083)",19,,16,1,2,
"Secundaria (084)",10,,10,,,
"Superior no univ. incompleta (085)",1,,1,,,
"Superior no univ. completa (086)",3,,2,1,,
"Superior univ. completa (088)",3,,2,1,,
