"CUADRO Nº 31: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,,
,,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,,DESOCU-PADO
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA",
,,,,,,,,,,,,,
"Provincia GRAN CHIMU (000)",10445,15,603,199,134,509,3853,792,374,3356,26,240,344
"Agric., ganadería, caza y silvicultura (001)",6300,,1,4,1,,3853,1,2,2438,,,
"Explotación de minas y canteras (003)",1205,1,81,79,52,,,594,131,267,,,
"Industrias manufactureras (004)",169,,2,7,2,7,,144,2,5,,,
"Suministro de electricidad, gas y agua (005)",13,,,1,,,,6,3,3,,,
"Construcción (006)",236,,2,2,,,,13,112,107,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (007)",545,,2,17,2,366,,28,3,127,,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",28,,,1,,4,,22,1,,,,
"Comercio al por mayor (009)",34,,,1,,29,,,1,3,,,
"Comercio al por menor (010)",483,,2,15,2,333,,6,1,124,,,
"Hoteles y restaurantes (011)",186,,,23,,104,,,,59,,,
"Trans., almac. y comunicaciones (012)",173,,,,5,,,,110,58,,,
"Intermediación financiera (013)",2,,,1,,,,,,1,,,
"Activid.inmobil., empres. y alquileres (014)",56,,7,10,10,17,,,1,11,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",122,11,5,1,49,,,,7,23,26,,
"Enseñanza (016)",487,3,472,,6,,,,,6,,,
"Servicios sociales y de salud (017)",70,,23,33,4,3,,3,2,2,,,
"Otras activ. serv.comun.soc y personales (018)",86,,8,20,,12,,3,1,42,,,
"Hogares privados con servicio doméstico (019)",206,,,,,,,,,206,,,
"Actividad economica no especificada (021)",245,,,1,3,,,,,1,,240,
"Desocupado (022)",344,,,,,,,,,,,,344
"Hombres (023)",8951,12,288,152,83,233,3789,736,373,2898,25,70,292
"Agric., ganadería, caza y silvicultura (024)",6141,,1,4,,,3789,1,2,2344,,,
"Explotación de minas y canteras (026)",1142,1,61,76,45,,,588,130,241,,,
"Industrias manufactureras (027)",117,,2,6,,4,,98,2,5,,,
"Suministro de electricidad, gas y agua (028)",12,,,1,,,,5,3,3,,,
"Construcción (029)",234,,2,2,,,,13,112,105,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (030)",290,,,11,1,181,,26,3,68,,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",25,,,1,,2,,21,1,,,,
"Comercio al por mayor (032)",26,,,1,,21,,,1,3,,,
"Comercio al por menor (033)",239,,,9,1,158,,5,1,65,,,
"Hoteles y restaurantes (034)",47,,,8,,23,,,,16,,,
"Trans., almac. y comunicaciones (035)",167,,,,2,,,,110,55,,,
"Intermediación financiera (036)",1,,,,,,,,,1,,,
"Activid.inmobil., empres. y alquileres (037)",45,,4,9,5,16,,,1,10,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",91,9,4,1,26,,,,7,19,25,,
"Enseñanza (039)",210,2,201,,2,,,,,5,,,
"Servicios sociales y de salud (040)",30,,6,15,2,2,,2,2,1,,,
"Otras activ. serv.comun.soc y personales (041)",50,,7,19,,7,,3,1,13,,,
"Hogares privados con servicio doméstico (042)",12,,,,,,,,,12,,,
"Actividad economica no especificada (044)",70,,,,,,,,,,,70,
"Desocupado (045)",292,,,,,,,,,,,,292
"Mujeres (046)",1494,3,315,47,51,276,64,56,1,458,1,170,52
"Agric., ganadería, caza y silvicultura (047)",159,,,,1,,64,,,94,,,
"Explotación de minas y canteras (049)",63,,20,3,7,,,6,1,26,,,
"Industrias manufactureras (050)",52,,,1,2,3,,46,,,,,
"Suministro de electricidad, gas y agua (051)",1,,,,,,,1,,,,,
"Construcción (052)",2,,,,,,,,,2,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (053)",255,,2,6,1,185,,2,,59,,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",3,,,,,2,,1,,,,,
"Comercio al por mayor (055)",8,,,,,8,,,,,,,
"Comercio al por menor (056)",244,,2,6,1,175,,1,,59,,,
"Hoteles y restaurantes (057)",139,,,15,,81,,,,43,,,
"Trans., almac. y comunicaciones (058)",6,,,,3,,,,,3,,,
"Intermediación financiera (059)",1,,,1,,,,,,,,,
"Activid.inmobil., empres. y alquileres (060)",11,,3,1,5,1,,,,1,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",31,2,1,,23,,,,,4,1,,
"Enseñanza (062)",277,1,271,,4,,,,,1,,,
"Servicios sociales y de salud (063)",40,,17,18,2,1,,1,,1,,,
"Otras activ. serv.comun.soc y personales (064)",36,,1,1,,5,,,,29,,,
"Hogares privados con servicio doméstico (065)",194,,,,,,,,,194,,,
"Actividad economica no especificada (067)",175,,,1,3,,,,,1,,170,
"Desocupado (068)",52,,,,,,,,,,,,52
,,,,,,,,,,,,,
"URBANA (069)",2381,11,281,97,66,352,366,163,135,757,25,63,65
"Agric., ganadería, caza y silvicultura (070)",750,,,1,1,,366,1,1,380,,,
"Explotación de minas y canteras (072)",113,,,3,1,,,53,,56,,,
"Industrias manufactureras (073)",98,,,6,2,6,,80,1,3,,,
"Suministro de electricidad, gas y agua (074)",5,,,,,,,2,1,2,,,
"Construcción (075)",116,,2,2,,,,7,56,49,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (076)",369,,2,13,2,259,,15,2,76,,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",16,,,1,,3,,12,,,,,
"Comercio al por mayor (078)",26,,,,,22,,,1,3,,,
"Comercio al por menor (079)",327,,2,12,2,234,,3,1,73,,,
"Hoteles y restaurantes (080)",120,,,16,,68,,,,36,,,
"Trans., almac. y comunicaciones (081)",100,,,,5,,,,65,30,,,
"Intermediación financiera (082)",1,,,1,,,,,,,,,
"Activid.inmobil., empres. y alquileres (083)",29,,4,7,8,5,,,,5,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",95,8,4,1,36,,,,6,15,25,,
"Enseñanza (085)",259,3,246,,5,,,,,5,,,
"Servicios sociales y de salud (086)",53,,15,26,3,2,,3,2,2,,,
"Otras activ. serv.comun.soc y personales (087)",64,,8,20,,12,,2,1,21,,,
"Hogares privados con servicio doméstico (088)",76,,,,,,,,,76,,,
"Actividad economica no especificada (090)",68,,,1,3,,,,,1,,63,
"Desocupado (091)",65,,,,,,,,,,,,65
"Hombres (092)",1669,8,124,63,27,152,355,131,135,575,24,22,53
"Agric., ganadería, caza y silvicultura (093)",728,,,1,,,355,1,1,370,,,
"Explotación de minas y canteras (095)",104,,,3,,,,52,,49,,,
"Industrias manufactureras (096)",63,,,5,,3,,51,1,3,,,
"Suministro de electricidad, gas y agua (097)",5,,,,,,,2,1,2,,,
"Construcción (098)",114,,2,2,,,,7,56,47,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (099)",191,,,8,1,127,,14,2,39,,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",14,,,1,,1,,12,,,,,
"Comercio al por mayor (101)",20,,,,,16,,,1,3,,,
"Comercio al por menor (102)",157,,,7,1,110,,2,1,36,,,
"Hoteles y restaurantes (103)",22,,,7,,8,,,,7,,,
"Trans., almac. y comunicaciones (104)",94,,,,2,,,,65,27,,,
"Activid.inmobil., empres. y alquileres (106)",23,,3,6,4,5,,,,5,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",68,6,3,1,17,,,,6,11,24,,
"Enseñanza (108)",113,2,105,,2,,,,,4,,,
"Servicios sociales y de salud (109)",23,,4,11,1,2,,2,2,1,,,
"Otras activ. serv.comun.soc y personales (110)",41,,7,19,,7,,2,1,5,,,
"Hogares privados con servicio doméstico (111)",5,,,,,,,,,5,,,
"Actividad economica no especificada (113)",22,,,,,,,,,,,22,
"Desocupado (114)",53,,,,,,,,,,,,53
"Mujeres (115)",712,3,157,34,39,200,11,32,,182,1,41,12
"Agric., ganadería, caza y silvicultura (116)",22,,,,1,,11,,,10,,,
"Explotación de minas y canteras (118)",9,,,,1,,,1,,7,,,
"Industrias manufactureras (119)",35,,,1,2,3,,29,,,,,
"Construcción (121)",2,,,,,,,,,2,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (122)",178,,2,5,1,132,,1,,37,,,
"Venta, mant.y rep. veh.autom.y motoc. (123)",2,,,,,2,,,,,,,
"Comercio al por mayor (124)",6,,,,,6,,,,,,,
"Comercio al por menor (125)",170,,2,5,1,124,,1,,37,,,
"Hoteles y restaurantes (126)",98,,,9,,60,,,,29,,,
"Trans., almac. y comunicaciones (127)",6,,,,3,,,,,3,,,
"Intermediación financiera (128)",1,,,1,,,,,,,,,
"Activid.inmobil., empres. y alquileres (129)",6,,1,1,4,,,,,,,,
"Admin.pub. y defensa; p. segur.soc.afil (130)",27,2,1,,19,,,,,4,1,,
"Enseñanza (131)",146,1,141,,3,,,,,1,,,
"Servicios sociales y de salud (132)",30,,11,15,2,,,1,,1,,,
"Otras activ. serv.comun.soc y personales (133)",23,,1,1,,5,,,,16,,,
"Hogares privados con servicio doméstico (134)",71,,,,,,,,,71,,,
"Actividad economica no especificada (136)",46,,,1,3,,,,,1,,41,
"Desocupado (137)",12,,,,,,,,,,,,12
,,,,,,,,,,,,,
"RURAL (138)",8064,4,322,102,68,157,3487,629,239,2599,1,177,279
"Agric., ganadería, caza y silvicultura (139)",5550,,1,3,,,3487,,1,2058,,,
"Explotación de minas y canteras (141)",1092,1,81,76,51,,,541,131,211,,,
"Industrias manufactureras (142)",71,,2,1,,1,,64,1,2,,,
"Suministro de electricidad, gas y agua (143)",8,,,1,,,,4,2,1,,,
"Construcción (144)",120,,,,,,,6,56,58,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (145)",176,,,4,,107,,13,1,51,,,
"Venta, mant.y rep. veh.autom.y motoc. (146)",12,,,,,1,,10,1,,,,
"Comercio al por mayor (147)",8,,,1,,7,,,,,,,
"Comercio al por menor (148)",156,,,3,,99,,3,,51,,,
"Hoteles y restaurantes (149)",66,,,7,,36,,,,23,,,
"Trans., almac. y comunicaciones (150)",73,,,,,,,,45,28,,,
"Intermediación financiera (151)",1,,,,,,,,,1,,,
"Activid.inmobil., empres. y alquileres (152)",27,,3,3,2,12,,,1,6,,,
"Admin.pub. y defensa; p. segur.soc.afil (153)",27,3,1,,13,,,,1,8,1,,
"Enseñanza (154)",228,,226,,1,,,,,1,,,
"Servicios sociales y de salud (155)",17,,8,7,1,1,,,,,,,
