"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia CAJATAMBO (000)",4353,2036,43,79,2045,62,2,7,,79
"Hombres (001)",1578,1022,31,57,397,24,2,2,,43
"Mujeres (002)",2775,1014,12,22,1648,38,,5,,36
"De 06 a 14 años (003)",1731,1641,,,50,15,,1,,24
"Hombres (004)",861,826,,,19,5,,,,11
"Mujeres (005)",870,815,,,31,10,,1,,13
"De 15 a 29 años (006)",831,384,1,7,423,,,1,,15
"Hombres (007)",280,192,,5,74,,,,,9
"Mujeres (008)",551,192,1,2,349,,,1,,6
"De 30 a 44 años (009)",543,7,4,11,510,,1,3,,7
"Hombres (010)",76,3,3,6,58,,1,1,,4
"Mujeres (011)",467,4,1,5,452,,,2,,3
"De 45 a 64 años (012)",587,4,12,18,528,,1,1,,23
"Hombres (013)",129,1,10,13,91,,1,,,13
"Mujeres (014)",458,3,2,5,437,,,1,,10
"De 65 y más años (015)",661,,26,43,534,47,,1,,10
"Hombres (016)",232,,18,33,155,19,,1,,6
"Mujeres (017)",429,,8,10,379,28,,,,4
,,,,,,,,,,
"AREA URBANA (018)",2667,1294,32,48,1201,38,1,4,,49
"Hombres (019)",1024,656,23,29,270,16,1,2,,27
"Mujeres (020)",1643,638,9,19,931,22,,2,,22
"De 06 a 14 años (021)",1063,1014,,,34,6,,,,9
"Hombres (022)",538,512,,,17,4,,,,5
"Mujeres (023)",525,502,,,17,2,,,,4
"De 15 a 29 años (024)",504,272,,5,217,,,1,,9
"Hombres (025)",197,140,,3,49,,,,,5
"Mujeres (026)",307,132,,2,168,,,1,,4
"De 30 a 44 años (027)",308,6,4,6,284,,1,2,,5
"Hombres (028)",52,3,3,2,39,,1,1,,3
"Mujeres (029)",256,3,1,4,245,,,1,,2
"De 45 a 64 años (030)",357,2,8,6,323,,,,,18
"Hombres (031)",83,1,6,2,64,,,,,10
"Mujeres (032)",274,1,2,4,259,,,,,8
"De 65 y más años (033)",435,,20,31,343,32,,1,,8
"Hombres (034)",154,,14,22,101,12,,1,,4
"Mujeres (035)",281,,6,9,242,20,,,,4
,,,,,,,,,,
"AREA RURAL (036)",1686,742,11,31,844,24,1,3,,30
"Hombres (037)",554,366,8,28,127,8,1,,,16
"Mujeres (038)",1132,376,3,3,717,16,,3,,14
"De 06 a 14 años (039)",668,627,,,16,9,,1,,15
"Hombres (040)",323,314,,,2,1,,,,6
"Mujeres (041)",345,313,,,14,8,,1,,9
"De 15 a 29 años (042)",327,112,1,2,206,,,,,6
"Hombres (043)",83,52,,2,25,,,,,4
"Mujeres (044)",244,60,1,,181,,,,,2
"De 30 a 44 años (045)",235,1,,5,226,,,1,,2
"Hombres (046)",24,,,4,19,,,,,1
"Mujeres (047)",211,1,,1,207,,,1,,1
"De 45 a 64 años (048)",230,2,4,12,205,,1,1,,5
"Hombres (049)",46,,4,11,27,,1,,,3
"Mujeres (050)",184,2,,1,178,,,1,,2
"De 65 y más años (051)",226,,6,12,191,15,,,,2
"Hombres (052)",78,,4,11,54,7,,,,2
"Mujeres (053)",148,,2,1,137,8,,,,
