"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia MAYNAS (000)",486072,386891,99181
"Casa independiente (001)",410603,370225,40378
"Departamento en edificio (002)",1755,1755,
"Vivienda en quinta (003)",10105,10105,
"Vivienda en casa de vecindad (004)",1723,1723,
"Choza o cabaña (005)",58766,,58766
"Vivienda improvisada (006)",2600,2600,
"Local no dest.para hab. humana (007)",424,394,30
"Otro tipo (008)",96,89,7
