"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PUERTO INCA (000)",10588,666,11,5845,3116,193,313,101,343
"Agric., ganadería, caza y silvicultura (001)",8249,598,9,5114,2334,74,62,31,27
"Pesca (002)",9,2,,7,,,,,
"Explotación de minas y canteras (003)",79,3,1,36,35,3,,1,
"Industrias manufactureras (004)",194,2,,82,92,7,5,4,2
"Suministro de electricidad, gas y agua (005)",2,,,,2,,,,
"Construcción (006)",166,1,,47,89,14,4,3,8
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",448,12,,179,185,30,19,9,14
"Venta, mant.y rep. veh.autom.y motoc. (008)",41,,,10,18,4,6,1,2
"Comercio al por mayor (009)",19,1,,7,10,,,,1
"Comercio al por menor (010)",388,11,,162,157,26,13,8,11
"Hoteles y restaurantes (011)",200,9,,111,64,8,3,4,1
"Trans., almac. y comunicaciones (012)",165,2,,35,101,7,8,6,6
"Intermediación financiera (013)",2,,,,,1,,,1
"Activid.inmobil., empres. y de alquiler (014)",29,1,,2,9,2,4,3,8
"Admin.pub. y defensa; p. segur.soc.afil (015)",177,1,,25,51,10,38,12,40
"Enseñanza (016)",355,,,,6,23,137,16,173
"Servicios sociales y de salud (017)",87,,,,1,2,24,8,52
"Otras activ. serv.comun.soc y personales (018)",54,3,,14,25,4,2,1,5
"Hogares privados con servicio doméstico (019)",200,11,,113,71,3,1,,1
"Actividad economica no especificada (021)",172,21,1,80,51,5,6,3,5
"Hombres (022)",8586,427,9,4798,2695,154,209,83,211
"Agric., ganadería, caza y silvicultura (023)",7129,412,8,4379,2147,70,58,30,25
"Pesca (024)",7,1,,6,,,,,
"Explotación de minas y canteras (025)",75,2,1,34,34,3,,1,
"Industrias manufactureras (026)",178,2,,79,81,7,3,4,2
"Suministro de electricidad, gas y agua (027)",2,,,,2,,,,
"Construcción (028)",164,1,,47,89,14,4,3,6
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",252,1,,91,111,20,15,7,7
"Venta, mant.y rep. veh.autom.y motoc. (030)",36,,,9,15,4,6,1,1
"Comercio al por mayor (031)",15,,,7,7,,,,1
"Comercio al por menor (032)",201,1,,75,89,16,9,6,5
"Hoteles y restaurantes (033)",29,,,12,10,2,2,3,
"Trans., almac. y comunicaciones (034)",155,2,,34,94,7,6,6,6
"Intermediación financiera (035)",1,,,,,,,,1
"Activid.inmobil., empres. y de alquiler (036)",23,1,,1,7,2,4,2,6
"Admin.pub. y defensa; p. segur.soc.afil (037)",153,1,,22,45,8,30,10,37
"Enseñanza (038)",191,,,,5,13,75,12,86
"Servicios sociales y de salud (039)",40,,,,,2,9,3,26
"Otras activ. serv.comun.soc y personales (040)",24,,,8,10,1,2,,3
"Hogares privados con servicio doméstico (041)",119,2,,71,42,3,,,1
"Actividad economica no especificada (043)",44,2,,14,18,2,1,2,5
"Mujeres (044)",2002,239,2,1047,421,39,104,18,132
"Agric., ganadería, caza y silvicultura (045)",1120,186,1,735,187,4,4,1,2
"Pesca (046)",2,1,,1,,,,,
