"CUADRO Nº 31: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,,
,,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,,DESOCU-PADO
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA",
,,,,,,,,,,,,,
"Provincia HUARMEY (000)",10909,23,710,359,419,1494,1947,705,1285,3078,43,345,501
"Agric., ganadería, caza y silvicultura (001)",3057,,5,12,4,,1448,,6,1582,,,
"Pesca (002)",777,,1,3,7,,499,3,5,259,,,
"Explotación de minas y canteras (003)",112,,5,7,3,,,88,2,7,,,
"Industrias manufactureras (004)",604,,8,22,20,23,,389,97,45,,,
"Suministro de electricidad, gas y agua (005)",23,,1,3,3,,,6,3,7,,,
"Construcción (006)",680,,13,26,11,,,51,380,199,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (007)",1570,2,13,63,8,981,,142,18,343,,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",157,,4,7,,21,,109,11,5,,,
"Comercio al por mayor (009)",43,,2,7,4,23,,1,1,5,,,
"Comercio al por menor (010)",1370,2,7,49,4,937,,32,6,333,,,
"Hoteles y restaurantes (011)",550,,4,19,7,326,,,1,193,,,
"Trans., almac. y comunicaciones (012)",876,,4,16,41,1,,8,740,66,,,
"Intermediación financiera (013)",8,,2,2,4,,,,,,,,
"Activid.inmobil., empres. y alquileres (014)",433,,58,63,83,121,,10,14,84,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",356,14,14,22,177,7,,2,16,61,43,,
"Enseñanza (016)",559,7,523,3,19,,,,,7,,,
"Servicios sociales y de salud (017)",110,,39,47,15,4,,,1,4,,,
"Otras activ. serv.comun.soc y personales (018)",245,,19,48,13,31,,6,2,126,,,
"Hogares privados con servicio doméstico (019)",94,,,,,,,,,94,,,
"Actividad economica no especificada (021)",354,,1,3,4,,,,,1,,345,
"Desocupado (022)",501,,,,,,,,,,,,501
"Hombres (023)",7849,19,341,234,219,607,1849,583,1247,2176,41,182,351
"Agric., ganadería, caza y silvicultura (024)",2663,,5,11,3,,1361,,6,1277,,,
"Pesca (025)",756,,,3,5,,488,3,5,252,,,
"Explotación de minas y canteras (026)",111,,5,7,3,,,87,2,7,,,
"Industrias manufactureras (027)",436,,7,13,11,19,,274,79,33,,,
"Suministro de electricidad, gas y agua (028)",22,,1,3,2,,,6,3,7,,,
"Construcción (029)",658,,13,26,10,,,50,375,184,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (030)",676,2,6,35,3,350,,140,18,122,,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",149,,4,6,,15,,109,11,4,,,
"Comercio al por mayor (032)",28,,,6,3,13,,1,1,4,,,
"Comercio al por menor (033)",499,2,2,23,,322,,30,6,114,,,
"Hoteles y restaurantes (034)",171,,2,13,6,102,,,1,47,,,
"Trans., almac. y comunicaciones (035)",825,,1,11,24,,,8,730,51,,,
"Intermediación financiera (036)",4,,1,,3,,,,,,,,
"Activid.inmobil., empres. y alquileres (037)",332,,36,47,50,115,,9,11,64,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",219,10,8,12,81,4,,2,14,47,41,,
"Enseñanza (039)",245,7,226,,8,,,,,4,,,
"Servicios sociales y de salud (040)",39,,15,13,7,2,,,1,1,,,
"Otras activ. serv.comun.soc y personales (041)",144,,14,37,2,15,,4,2,70,,,
"Hogares privados con servicio doméstico (042)",9,,,,,,,,,9,,,
"Actividad economica no especificada (044)",188,,1,3,1,,,,,1,,182,
"Desocupado (045)",351,,,,,,,,,,,,351
"Mujeres (046)",3060,4,369,125,200,887,98,122,38,902,2,163,150
"Agric., ganadería, caza y silvicultura (047)",394,,,1,1,,87,,,305,,,
"Pesca (048)",21,,1,,2,,11,,,7,,,
"Explotación de minas y canteras (049)",1,,,,,,,1,,,,,
"Industrias manufactureras (050)",168,,1,9,9,4,,115,18,12,,,
"Suministro de electricidad, gas y agua (051)",1,,,,1,,,,,,,,
"Construcción (052)",22,,,,1,,,1,5,15,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (053)",894,,7,28,5,631,,2,,221,,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",8,,,1,,6,,,,1,,,
"Comercio al por mayor (055)",15,,2,1,1,10,,,,1,,,
"Comercio al por menor (056)",871,,5,26,4,615,,2,,219,,,
"Hoteles y restaurantes (057)",379,,2,6,1,224,,,,146,,,
"Trans., almac. y comunicaciones (058)",51,,3,5,17,1,,,10,15,,,
"Intermediación financiera (059)",4,,1,2,1,,,,,,,,
"Activid.inmobil., empres. y alquileres (060)",101,,22,16,33,6,,1,3,20,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",137,4,6,10,96,3,,,2,14,2,,
"Enseñanza (062)",314,,297,3,11,,,,,3,,,
"Servicios sociales y de salud (063)",71,,24,34,8,2,,,,3,,,
"Otras activ. serv.comun.soc y personales (064)",101,,5,11,11,16,,2,,56,,,
"Hogares privados con servicio doméstico (065)",85,,,,,,,,,85,,,
"Actividad economica no especificada (067)",166,,,,3,,,,,,,163,
"Desocupado (068)",150,,,,,,,,,,,,150
,,,,,,,,,,,,,
"URBANA (069)",8346,21,641,350,407,1411,978,614,1147,2024,43,303,407
"Agric., ganadería, caza y silvicultura (070)",1187,,4,12,4,,513,,3,651,,,
"Pesca (071)",739,,1,3,7,,465,2,5,256,,,
"Explotación de minas y canteras (072)",62,,5,7,3,,,38,2,7,,,
"Industrias manufactureras (073)",513,,7,22,19,19,,364,39,43,,,
"Suministro de electricidad, gas y agua (074)",20,,1,3,3,,,5,3,5,,,
"Construcción (075)",622,,13,25,11,,,47,366,160,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (076)",1490,2,13,62,7,942,,133,17,314,,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",148,,4,7,,20,,102,10,5,,,
"Comercio al por mayor (078)",41,,2,7,3,22,,1,1,5,,,
"Comercio al por menor (079)",1301,2,7,48,4,900,,30,6,304,,,
"Hoteles y restaurantes (080)",498,,4,17,5,295,,,1,176,,,
"Trans., almac. y comunicaciones (081)",810,,4,16,40,1,,8,679,62,,,
"Intermediación financiera (082)",8,,2,2,4,,,,,,,,
"Activid.inmobil., empres. y alquileres (083)",408,,57,62,80,112,,10,14,73,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",349,13,14,21,174,7,,2,15,60,43,,
"Enseñanza (085)",492,6,457,3,19,,,,,7,,,
"Servicios sociales y de salud (086)",108,,39,45,15,4,,,1,4,,,
"Otras activ. serv.comun.soc y personales (087)",238,,19,47,12,31,,5,2,122,,,
"Hogares privados con servicio doméstico (088)",83,,,,,,,,,83,,,
"Actividad economica no especificada (090)",312,,1,3,4,,,,,1,,303,
"Desocupado (091)",407,,,,,,,,,,,,407
"Hombres (092)",5689,17,316,228,211,573,923,495,1119,1309,41,180,277
"Agric., ganadería, caza y silvicultura (093)",981,,4,11,3,,469,,3,491,,,
"Pesca (094)",718,,,3,5,,454,2,5,249,,,
"Explotación de minas y canteras (095)",61,,5,7,3,,,37,2,7,,,
"Industrias manufactureras (096)",358,,6,13,10,15,,252,31,31,,,
"Suministro de electricidad, gas y agua (097)",19,,1,3,2,,,5,3,5,,,
"Construcción (098)",601,,13,25,10,,,46,361,146,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (099)",637,2,6,34,2,338,,131,17,107,,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",140,,4,6,,14,,102,10,4,,,
"Comercio al por mayor (101)",27,,,6,2,13,,1,1,4,,,
"Comercio al por menor (102)",470,2,2,22,,311,,28,6,99,,,
"Hoteles y restaurantes (103)",154,,2,12,4,93,,,1,42,,,
"Trans., almac. y comunicaciones (104)",760,,1,11,24,,,8,669,47,,,
"Intermediación financiera (105)",4,,1,,3,,,,,,,,
"Activid.inmobil., empres. y alquileres (106)",311,,35,46,49,106,,9,11,55,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",213,9,8,11,79,4,,2,13,46,41,,
"Enseñanza (108)",222,6,204,,8,,,,,4,,,
"Servicios sociales y de salud (109)",39,,15,13,7,2,,,1,1,,,
"Otras activ. serv.comun.soc y personales (110)",139,,14,36,1,15,,3,2,68,,,
"Hogares privados con servicio doméstico (111)",9,,,,,,,,,9,,,
"Actividad economica no especificada (113)",186,,1,3,1,,,,,1,,180,
"Desocupado (114)",277,,,,,,,,,,,,277
"Mujeres (115)",2657,4,325,122,196,838,55,119,28,715,2,123,130
"Agric., ganadería, caza y silvicultura (116)",206,,,1,1,,44,,,160,,,
"Pesca (117)",21,,1,,2,,11,,,7,,,
"Explotación de minas y canteras (118)",1,,,,,,,1,,,,,
"Industrias manufactureras (119)",155,,1,9,9,4,,112,8,12,,,
"Suministro de electricidad, gas y agua (120)",1,,,,1,,,,,,,,
"Construcción (121)",21,,,,1,,,1,5,14,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (122)",853,,7,28,5,604,,2,,207,,,
"Venta, mant.y rep. veh.autom.y motoc. (123)",8,,,1,,6,,,,1,,,
"Comercio al por mayor (124)",14,,2,1,1,9,,,,1,,,
"Comercio al por menor (125)",831,,5,26,4,589,,2,,205,,,
"Hoteles y restaurantes (126)",344,,2,5,1,202,,,,134,,,
"Trans., almac. y comunicaciones (127)",50,,3,5,16,1,,,10,15,,,
"Intermediación financiera (128)",4,,1,2,1,,,,,,,,
"Activid.inmobil., empres. y alquileres (129)",97,,22,16,31,6,,1,3,18,,,
"Admin.pub. y defensa; p. segur.soc.afil (130)",136,4,6,10,95,3,,,2,14,2,,
"Enseñanza (131)",270,,253,3,11,,,,,3,,,
"Servicios sociales y de salud (132)",69,,24,32,8,2,,,,3,,,
"Otras activ. serv.comun.soc y personales (133)",99,,5,11,11,16,,2,,54,,,
"Hogares privados con servicio doméstico (134)",74,,,,,,,,,74,,,
"Actividad economica no especificada (136)",126,,,,3,,,,,,,123,
"Desocupado (137)",130,,,,,,,,,,,,130
,,,,,,,,,,,,,
"RURAL (138)",2563,2,69,9,12,83,969,91,138,1054,,42,94
"Agric., ganadería, caza y silvicultura (139)",1870,,1,,,,935,,3,931,,,
"Pesca (140)",38,,,,,,34,1,,3,,,
"Explotación de minas y canteras (141)",50,,,,,,,50,,,,,
"Industrias manufactureras (142)",91,,1,,1,4,,25,58,2,,,
"Suministro de electricidad, gas y agua (143)",3,,,,,,,1,,2,,,
"Construcción (144)",58,,,1,,,,4,14,39,,,
