"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia MELGAR (000)",29148,11768,17380
"Casa independiente (001)",21680,10650,11030
"Departamento en edificio (002)",2,2,
"Vivienda en quinta (003)",17,17,
"Vivienda en casa de vecindad (004)",1011,1011,
"Choza o cabaña (005)",6340,,6340
"Vivienda improvisada (006)",69,69,
"Local no dest.para hab. humana (007)",22,17,5
"Otro tipo (008)",7,2,5
