"CUADRO Nº 17: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia BOLIVAR (000)",4256,601,637,2201,30,682,105
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",24,24,,,,,
"Profes., científicos e intelectuales (002)",386,373,,11,1,1,
"Técnicos de nivel medio y trab. asimilados (003)",56,37,,14,2,3,
"Jefes y empleados de oficina (004)",97,95,,,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",208,9,5,127,3,64,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",1820,,,1797,23,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",129,,31,89,,9,
"Obreros construc.,conf.,papel, fab., instr. (008)",132,5,63,61,,3,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",1170,38,447,35,,545,105
"Otra (010)",10,10,,,,,
"Ocupación no especificada (011)",224,10,91,67,1,55,
"Hombres (012)",3456,357,558,1998,28,502,13
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",19,19,,,,,
"Profes., científicos e intelectuales (014)",209,200,,7,1,1,
"Técnicos de nivel medio y trab. asimilados (015)",32,21,,9,1,1,
"Jefes y empleados de oficina (016)",66,66,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",73,5,1,56,2,9,
"Agricult.trabaj.calif.agrop.y pesqueros (018)",1772,,,1749,23,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",97,,26,66,,5,
"Obreros construc.,conf.,papel, fab., instr. (020)",132,5,63,61,,3,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",924,25,404,14,,468,13
"Otra (022)",10,10,,,,,
"Ocupación no especificada (023)",122,6,64,36,1,15,
"Mujeres (024)",800,244,79,203,2,180,92
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",5,5,,,,,
"Profes., científicos e intelectuales (026)",177,173,,4,,,
"Técnicos de nivel medio y trab. asimilados (027)",24,16,,5,1,2,
"Jefes y empleados de oficina (028)",31,29,,,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",135,4,4,71,1,55,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",48,,,48,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",32,,5,23,,4,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",246,13,43,21,,77,92
"Ocupación no especificada (035)",102,4,27,31,,40,
,,,,,,,
"URBANA (036)",1670,501,277,630,7,182,73
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",24,24,,,,,
"Profes., científicos e intelectuales (038)",300,294,,4,1,1,
"Técnicos de nivel medio y trab. asimilados (039)",47,33,,11,,3,
"Jefes y empleados de oficina (040)",90,88,,,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",143,8,1,88,3,43,
"Agricult.trabaj.calif.agrop.y pesqueros (042)",392,,,390,2,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (043)",89,,25,58,,6,
"Obreros construc.,conf.,papel, fab., instr. (044)",83,3,43,34,,3,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (045)",417,35,184,22,,103,73
"Otra (046)",10,10,,,,,
"Ocupación no especificada (047)",75,6,24,23,1,21,
"Hombres (048)",1172,294,233,527,6,107,5
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",19,19,,,,,
"Profes., científicos e intelectuales (050)",159,154,,3,1,1,
"Técnicos de nivel medio y trab. asimilados (051)",27,19,,7,,1,
"Jefes y empleados de oficina (052)",60,60,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",51,4,,37,2,8,
"Agricult.trabaj.calif.agrop.y pesqueros (054)",382,,,380,2,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (055)",66,,20,44,,2,
"Obreros construc.,conf.,papel, fab., instr. (056)",83,3,43,34,,3,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (057)",277,22,159,7,,84,5
"Otra (058)",10,10,,,,,
"Ocupación no especificada (059)",38,3,11,15,1,8,
"Mujeres (060)",498,207,44,103,1,75,68
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",5,5,,,,,
"Profes., científicos e intelectuales (062)",141,140,,1,,,
"Técnicos de nivel medio y trab. asimilados (063)",20,14,,4,,2,
"Jefes y empleados de oficina (064)",30,28,,,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",92,4,1,51,1,35,
"Agricult.trabaj.calif.agrop.y pesqueros (066)",10,,,10,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (067)",23,,5,14,,4,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (069)",140,13,25,15,,19,68
"Ocupación no especificada (071)",37,3,13,8,,13,
,,,,,,,
"RURAL (072)",2586,100,360,1571,23,500,32
"Profes., científicos e intelectuales (074)",86,79,,7,,,
"Técnicos de nivel medio y trab. asimilados (075)",9,4,,3,2,,
"Jefes y empleados de oficina (076)",7,7,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",65,1,4,39,,21,
"Agricult.trabaj.calif.agrop.y pesqueros (078)",1428,,,1407,21,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (079)",40,,6,31,,3,
"Obreros construc.,conf.,papel, fab., instr. (080)",49,2,20,27,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (081)",753,3,263,13,,442,32
"Ocupación no especificada (083)",149,4,67,44,,34,
"Hombres (084)",2284,63,325,1471,22,395,8
"Profes., científicos e intelectuales (086)",50,46,,4,,,
"Técnicos de nivel medio y trab. asimilados (087)",5,2,,2,1,,
"Jefes y empleados de oficina (088)",6,6,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",22,1,1,19,,1,
"Agricult.trabaj.calif.agrop.y pesqueros (090)",1390,,,1369,21,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (091)",31,,6,22,,3,
"Obreros construc.,conf.,papel, fab., instr. (092)",49,2,20,27,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (093)",647,3,245,7,,384,8
"Ocupación no especificada (095)",84,3,53,21,,7,
"Mujeres (096)",302,37,35,100,1,105,24
"Profes., científicos e intelectuales (098)",36,33,,3,,,
"Técnicos de nivel medio y trab. asimilados (099)",4,2,,1,1,,
"Jefes y empleados de oficina (100)",1,1,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (101)",43,,3,20,,20,
"Agricult.trabaj.calif.agrop.y pesqueros (102)",38,,,38,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (103)",9,,,9,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (105)",106,,18,6,,58,24
"Ocupación no especificada (107)",65,1,14,23,,27,
