"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia FERREÑAFE (000)",27955,20993,3026,1948,1988
"Agric., ganadería, caza y silvicultura (001)",14384,11711,1747,708,218
"Pesca (002)",10,6,3,1,
"Explotación de minas y canteras (003)",73,21,14,4,34
"Industrias manufactureras (004)",1182,964,115,66,37
"Suministro de electricidad, gas y agua (005)",63,14,2,30,17
"Construcción (006)",1152,830,179,95,48
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",3229,2966,181,64,18
"Venta, mant.y rep. veh.autom y motoc. (008)",330,288,27,9,6
"Comercio al por mayor (009)",168,130,16,10,12
"Comercio al por menor (010)",2731,2548,138,45,
"Hoteles y restaurantes (011)",546,486,42,10,8
"Trans., almac. y comunicaciones (012)",1811,1450,166,138,57
"Intermediación financiera (013)",52,7,5,19,21
"Activid.inmobil., empres. y alquileres (014)",529,278,66,104,81
"Admin.pub. y defensa; p. segur soc.afil (015)",739,,,,739
"Enseñanza (016)",1716,457,319,588,352
"Servicios sociales y de salud (017)",464,105,40,26,293
"Otras activ. serv.comun.soc y personales (018)",541,383,81,46,31
"Hogares privados con servicio doméstico (019)",674,674,,,
"Actividad economica no especificada (021)",790,641,66,49,34
"Hombres (022)",20603,15330,2523,1403,1347
"Agric., ganadería, caza y silvicultura (023)",12293,9861,1614,609,209
"Pesca (024)",8,4,3,1,
"Explotación de minas y canteras (025)",72,20,14,4,34
"Industrias manufactureras (026)",790,612,98,54,26
"Suministro de electricidad, gas y agua (027)",59,14,1,27,17
"Construcción (028)",1134,823,177,88,46
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1720,1539,120,49,12
"Venta, mant.y rep. veh.autom y motoc. (030)",314,276,23,9,6
"Comercio al por mayor (031)",106,80,11,9,6
"Comercio al por menor (032)",1300,1183,86,31,
"Hoteles y restaurantes (033)",133,111,16,4,2
"Trans., almac. y comunicaciones (034)",1704,1370,159,127,48
"Intermediación financiera (035)",32,4,1,13,14
"Activid.inmobil., empres. y alquileres (036)",397,202,49,81,65
"Admin.pub. y defensa; p. segur soc.afil (037)",552,,,,552
"Enseñanza (038)",804,190,147,277,190
"Servicios sociales y de salud (039)",155,55,7,10,83
"Otras activ. serv.comun.soc y personales (040)",333,198,71,35,29
"Hogares privados con servicio doméstico (041)",27,27,,,
