"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PASCO (000)",49019,1578,42,9275,20686,2521,3780,2748,8389
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",118,,,4,22,2,5,7,78
"Profes., científicos e intelectuales (002)",5403,,,,49,104,490,299,4461
"Técnicos de nivel medio ytrab.asimilados (003)",2322,2,,45,414,229,642,284,706
"Jefes y empleados de oficina (004)",2081,,,9,358,143,372,295,904
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",5181,119,2,801,2470,355,414,437,583
"Agricult.trabaj. calif.agrop. y pesquros (006)",7477,670,8,3599,2874,96,65,74,91
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",6686,48,6,557,3687,527,874,427,560
"Obreros. construc., conf., papel, fab., instr (008)",5930,40,3,673,3695,424,386,378,331
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",11705,609,19,3177,6171,498,386,430,415
"Otra (010)",87,,,,15,9,33,11,19
"Ocupación no especificada (011)",2029,90,4,410,931,134,113,106,241
"Hombres (012)",35763,780,30,6605,16690,1916,2575,2017,5150
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",88,,,4,16,1,5,7,55
"Profes., científicos e intelectuales (014)",2901,,,,27,54,201,184,2435
"Técnicos de nivel medio ytrab.asimilados (015)",1671,,,26,336,176,413,216,504
"Jefes y empleados de oficina (016)",1129,,,7,227,68,150,167,510
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",2299,13,1,244,1197,174,156,219,295
"Agricult.trabaj. calif.agrop. y pesquros (018)",6575,480,6,3188,2624,79,50,67,81
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",6341,34,5,507,3523,497,842,404,529
"Obreros. construc., conf., papel, fab., instr (020)",5814,35,2,658,3638,415,375,367,324
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",7647,202,13,1776,4469,354,279,296,258
"Otra (022)",86,,,,15,9,32,11,19
"Ocupación no especificada (023)",1212,16,3,195,618,89,72,79,140
"Mujeres (024)",13256,798,12,2670,3996,605,1205,731,3239
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",30,,,,6,1,,,23
"Profes., científicos e intelectuales (026)",2502,,,,22,50,289,115,2026
"Técnicos de nivel medio ytrab.asimilados (027)",651,2,,19,78,53,229,68,202
"Jefes y empleados de oficina (028)",952,,,2,131,75,222,128,394
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",2882,106,1,557,1273,181,258,218,288
"Agricult.trabaj. calif.agrop. y pesquros (030)",902,190,2,411,250,17,15,7,10
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",345,14,1,50,164,30,32,23,31
"Obreros. construc., conf., papel, fab., instr (032)",116,5,1,15,57,9,11,11,7
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",4058,407,6,1401,1702,144,107,134,157
"Otra (034)",1,,,,,,1,,
"Ocupación no especificada (035)",817,74,1,215,313,45,41,27,101
,,,,,,,,,
"URBANA (036)",37525,819,29,5412,15482,2144,3263,2536,7840
