"CUADRO Nº 16: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia TACNA",,,
"Viviendas particulares (001)",71553,58985,12568
"Ocupantes presentes (002)",258846,228016,30830
"Casa independiente",,,
"Viviendas particulares (004)",61902,53612,8290
"Ocupantes presentes (005)",232477,211833,20644
"Departamento en edificio",,,
"Viviendas particulares (007)",2226,2226,
"Ocupantes presentes (008)",6748,6748,
"Vivienda en quinta",,,
"Viviendas particulares (010)",393,393,
"Ocupantes presentes (011)",1222,1222,
"Vivienda en casa de vecindad",,,
"Viviendas particulares (013)",410,384,26
"Ocupantes presentes (014)",1386,1327,59
"Choza o cabaña",,,
"Viviendas particulares (016)",1807,368,1439
"Ocupantes presentes (017)",4849,1194,3655
"Vivienda improvisada",,,
"Viviendas particulares (019)",4646,1885,2761
"Ocupantes presentes (020)",11788,5414,6374
"Local no dest.para hab. humana",,,
"Viviendas particulares (022)",139,110,29
"Ocupantes presentes (023)",306,254,52
"Otro tipo",,,
"Viviendas particulares (025)",30,7,23
"Ocupantes presentes (026)",70,24,46
,,,
URBANA,,,
"Viviendas particulares (028)",66179,56465,9714
"Ocupantes presentes (029)",242401,219191,23210
"Casa independiente",,,
"Viviendas particulares (031)",58355,51463,6892
"Ocupantes presentes (032)",220923,204210,16713
"Departamento en edificio",,,
"Viviendas particulares (034)",2226,2226,
"Ocupantes presentes (035)",6748,6748,
"Vivienda en quinta",,,
"Viviendas particulares (037)",393,393,
"Ocupantes presentes (038)",1222,1222,
"Vivienda en casa de vecindad",,,
"Viviendas particulares (040)",410,384,26
"Ocupantes presentes (041)",1386,1327,59
"Choza o cabaña",,,
"Vivienda improvisada",,,
"Viviendas particulares (046)",4646,1885,2761
"Ocupantes presentes (047)",11788,5414,6374
"Local no dest.para hab. humana",,,
"Viviendas particulares (049)",131,108,23
"Ocupantes presentes (050)",294,251,43
"Otro tipo",,,
"Viviendas particulares (052)",18,6,12
"Ocupantes presentes (053)",40,19,21
,,,
RURAL,,,
"Viviendas particulares (055)",5374,2520,2854
"Ocupantes presentes (056)",16445,8825,7620
"Casa independiente",,,
"Viviendas particulares (058)",3547,2149,1398
"Ocupantes presentes (059)",11554,7623,3931
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Vivienda en casa de vecindad",,,
"Choza o cabaña",,,
"Viviendas particulares (070)",1807,368,1439
"Ocupantes presentes (071)",4849,1194,3655
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Viviendas particulares (076)",8,2,6
"Ocupantes presentes (077)",12,3,9
"Otro tipo",,,
"Viviendas particulares (079)",12,1,11
"Ocupantes presentes (080)",30,5,25
