"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PAITA (000)",39827,38182,11724,5518,5906,4515,5132,2597,1420,1370,1645,98099
"De 12 a 14 años (001)",3603,3587,3577,8,2,,,,,,16,12
"De 15 a 19 años (002)",5633,5493,4806,614,66,6,1,,,,140,768
"De 20 a 24 años (003)",5020,4504,1651,1807,830,175,36,5,,,516,4173
"De 25 a 29 años (004)",4848,4493,585,1347,1606,689,246,19,1,,355,7790
"De 30 a 34 años (005)",4259,4077,278,658,1315,1004,731,88,2,1,182,10045
"De 35 a 39 años (006)",3756,3619,189,384,870,949,960,215,41,11,137,10955
"De 40 a 44 años (007)",3115,3017,156,226,515,700,949,351,94,26,98,10835
"De 45 a 49 años (008)",2476,2424,104,148,300,419,751,455,168,79,52,10568
"De 50 y más años (009)",7117,6968,378,326,402,573,1458,1464,1114,1253,149,42953
"Sin nivel (010)",3388,3276,270,173,236,306,619,562,456,654,112,19602
"De 12 a 14 años (011)",53,52,52,,,,,,,,1,
"De 15 a 19 años (012)",76,75,61,12,2,,,,,,1,16
"De 20 a 24 años (013)",75,62,19,18,14,7,3,1,,,13,88
"De 25 a 29 años (014)",107,95,14,20,28,17,14,1,1,,12,203
"De 30 a 34 años (015)",241,228,17,17,49,60,68,16,,1,13,715
"De 35 a 39 años (016)",250,231,7,15,32,59,81,26,8,3,19,879
"De 40 a 44 años (017)",282,266,14,13,34,39,93,46,20,7,16,1153
"De 45 a 49 años (018)",264,258,6,10,15,26,67,74,33,27,6,1480
"De 50 y más años (019)",2040,2009,80,68,62,98,293,398,394,616,31,15068
"Educacion Inicial (020)",86,82,44,10,6,11,9,2,,,4,106
"De 12 a 14 años (021)",31,31,31,,,,,,,,,
"De 15 a 19 años (022)",6,6,6,,,,,,,,,
