"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia ACOBAMBA (000)",22185,61959,55031,,1041,88.8,1.7
"De 12 a 14 años (001)",2641,8,8,,,100,
"De 15 a 19 años (002)",3495,513,497,147,96.9,28.7,
"De 20 a 24 años (003)",2814,2663,2589,302,97.2,11.3,
"De 25 a 29 años (004)",2219,4366,4204,200,96.3,4.6,
"De 30 a 34 años (005)",1897,5882,5568,170,94.7,2.9,
"De 35 a 39 años (006)",1821,7649,7153,129,93.5,1.7,
"De 40 a 44 años (007)",1479,7710,7044,64,91.4,0.8,
"De 45 a 49 años (008)",1358,7872,7085,29,90,0.4,
"De 50 y más años (009)",4461,25296,20883,,82.6,,
"Conviviente (010)",2556,5370,5077,323,94.5,6,
"De 12 a 14 años (011)",26,3,3,,100,,
"De 15 a 19 años (012)",387,237,230,77,97,32.5,
"De 20 a 24 años (013)",714,934,905,131,96.9,14,
"De 25 a 29 años (014)",533,966,942,59,97.5,6.1,
"De 30 a 34 años (015)",339,889,859,36,96.6,4,
"De 35 a 39 años (016)",211,733,708,16,96.6,2.2,
"De 40 a 44 años (017)",100,455,415,3,91.2,0.7,
"De 45 a 49 años (018)",74,360,320,1,88.9,0.3,
"De 50 y más años (019)",172,793,695,,87.6,,
"Separado(a) (020)",627,1517,1393,41,91.8,2.7,
"De 12 a 14 años (021)",1,,,,,,
"De 15 a 19 años (022)",47,39,39,14,100,35.9,
"De 20 a 24 años (023)",125,148,148,16,100,10.8,
"De 25 a 29 años (024)",91,158,150,5,94.9,3.2,
"De 30 a 34 años (025)",94,185,176,2,95.1,1.1,
"De 35 a 39 años (026)",69,164,157,3,95.7,1.8,
"De 40 a 44 años (027)",53,191,168,1,88,0.5,
"De 45 a 49 años (028)",45,164,149,,90.9,,
"De 50 y más años (029)",102,468,406,,86.8,,
"Casado(a) (030)",9332,43885,39423,636,89.8,1.4,
"De 12 a 14 años (031)",2,2,2,,100,,
"De 15 a 19 años (032)",189,181,172,43,95,23.8,
"De 20 a 24 años (033)",875,1473,1429,146,97,9.9,
"De 25 a 29 años (034)",1117,3054,2935,129,96.1,4.2,
"De 30 a 34 años (035)",1206,4536,4272,125,94.2,2.8,
"De 35 a 39 años (036)",1341,6405,5963,109,93.1,1.7,
"De 40 a 44 años (037)",1153,6524,5978,57,91.6,0.9,
