"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia VIRU (000)",19012,13818,5194
"Casa independiente (001)",17420,12493,4927
"Departamento en edificio (002)",93,93,
"Vivienda en quinta (003)",433,433,
"Vivienda en casa de vecindad (004)",340,340,
"Choza o cabaña (005)",264,,264
"Vivienda improvisada (006)",413,413,
"Local no dest.para hab. humana (007)",23,20,3
"Otro tipo (008)",26,26,
