"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia PACHITEA (000)",50529,16037,15654,9624,6363,2851
"Sin nivel (001)",11500,1446,2167,2896,3051,1940
"Educación inicial (002)",1004,881,94,29,,
"Primaria (003)",30417,12713,8469,5458,2910,867
"Secundaria (004)",6249,997,4165,803,260,24
"Superior no univ. incompleta (005)",313,,244,46,22,1
"Superior no univ. completa (006)",275,,122,122,24,7
"Superior univ. incompleta (007)",301,,205,67,27,2
"Superior univ. completa (008)",470,,188,203,69,10
"PEA (010)",17566,469,7139,5345,3482,1131
"Sin nivel (011)",3504,93,716,1014,1124,557
"Educación inicial (012)",53,8,34,11,,
"Primaria (013)",10623,337,4334,3354,2041,557
"Secundaria (014)",2526,31,1679,605,201,10
"Superior no univ. incompleta (015)",140,,90,33,16,1
"Superior no univ. completa (016)",196,,82,94,18,2
"Superior univ. incompleta (017)",129,,53,51,24,1
"Superior univ. completa (018)",395,,151,183,58,3
"Ocupada (020)",16666,425,6607,5148,3389,1097
"Sin nivel (021)",3374,80,680,986,1095,533
"Educación inicial (022)",49,4,34,11,,
"Primaria (023)",10190,315,4092,3248,1988,547
"Secundaria (024)",2260,26,1469,563,192,10
"Superior no univ. incompleta (025)",129,,80,33,15,1
"Superior no univ. completa (026)",177,,72,85,18,2
"Superior univ. incompleta (027)",122,,48,49,24,1
"Superior univ. completa (028)",365,,132,173,57,3
"Desocupada (030)",900,44,532,197,93,34
"Sin nivel (031)",130,13,36,28,29,24
