"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia ACOBAMBA (000)",63458,19014,44444
"Casa independiente (001)",61918,18202,43716
"Vivienda en quinta (003)",628,628,
"Vivienda en casa de vecindad (004)",163,163,
"Choza o cabaña (005)",706,,706
"Vivienda improvisada (006)",19,19,
"Local no dest.para hab. humana (007)",20,2,18
"Otro tipo (008)",4,,4
