"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia HUAYLAS (000)",12729,53368,4224,17187,8505,36181
"Casa independiente (001)",12527,52604,4103,16755,8424,35849
"Departamento en edificio (002)",28,99,28,99,,
"Vivienda en quinta (003)",45,153,45,153,,
"Vivienda en casa de vecindad (004)",45,172,45,172,,
"Choza o cabaña (005)",73,316,,,73,316
"Vivienda improvisada (006)",1,1,1,1,,
"Local no dest.para hab. humana (007)",8,21,2,7,6,14
"Otro tipo (008)",2,2,,,2,2
