"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CHANCHAMAYO (000)",56213,54457,16478,8153,7910,6096,7892,4364,2240,1324,1756,138848
"De 12 a 14 años (001)",5973,5907,5855,42,10,,,,,,66,62
"De 15 a 19 años (002)",8502,8313,6775,1299,190,41,8,,,,189,1834
"De 20 a 24 años (003)",7147,6535,2073,2566,1312,443,130,11,,,612,7137
"De 25 a 29 años (004)",6647,6233,689,1762,1984,1092,635,63,8,,414,12170
"De 30 a 34 años (005)",5663,5507,328,970,1484,1243,1149,271,52,10,156,14907
"De 35 a 39 años (006)",5503,5399,206,552,1173,1092,1576,605,158,37,104,18679
"De 40 a 44 años (007)",4625,4583,169,331,686,841,1392,763,284,117,42,18930
"De 45 a 49 años (008)",3557,3520,101,209,420,521,993,742,360,174,37,16759
"De 50 y más años (009)",8596,8460,282,422,651,823,2009,1909,1378,986,136,48370
"Sin nivel (010)",7304,7189,411,371,628,750,1715,1521,1045,748,115,38687
"De 12 a 14 años (011)",71,68,65,2,1,,,,,,3,4
"De 15 a 19 años (012)",114,111,70,26,8,7,,,,,3,63
"De 20 a 24 años (013)",175,170,33,44,52,33,6,2,,,5,286
"De 25 a 29 años (014)",253,243,21,27,66,51,57,21,,,10,692
"De 30 a 34 años (015)",589,572,20,45,92,128,201,66,16,4,17,2106
"De 35 a 39 años (016)",761,749,26,32,99,106,263,154,55,14,12,3321
"De 40 a 44 años (017)",840,833,29,32,74,85,246,198,114,55,7,4384
"De 45 a 49 años (018)",806,801,19,21,55,70,205,205,136,90,5,4764
"De 50 y más años (019)",3695,3642,128,142,181,270,737,875,724,585,53,23067
"Educacion Inicial (020)",133,130,46,10,20,21,28,4,1,,3,265
"De 12 a 14 años (021)",23,23,23,,,,,,,,,
