"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CUTERVO (000)",34094,32295,117,6363,5820,4487,6321,4649,2894,1644,1799,131711
"De 12 a 14 años (001)",65,28,2,24,2,,,,,,37,28
"De 15 a 19 años (002)",1143,984,12,820,140,10,2,,,,159,1138
"De 20 a 24 años (003)",3747,3237,15,1893,1000,277,50,2,,,510,4944
"De 25 a 29 años (004)",4466,4077,14,1403,1371,779,474,36,,,389,8720
"De 30 a 34 años (005)",4206,4033,1,742,1115,942,941,250,34,8,173,11849
"De 35 a 39 años (006)",4135,3992,16,477,788,829,1147,545,164,26,143,14746
"De 40 a 44 años (007)",3469,3350,9,256,483,551,975,696,297,83,119,15029
"De 45 a 49 años (008)",2985,2920,7,192,283,370,769,679,404,216,65,15439
"De 50 y más años (009)",9878,9674,41,556,638,729,1963,2441,1995,1311,204,59818
"Conviviente (010)",13768,13446,52,3148,2780,1989,2542,1613,843,479,322,48563
"De 12 a 14 años (011)",46,18,2,16,,,,,,,28,16
"De 15 a 19 años (012)",825,686,9,566,103,7,1,,,,139,797
"De 20 a 24 años (013)",2163,2072,8,1171,669,189,34,1,,,91,3224
"De 25 a 29 años (014)",2378,2351,7,719,814,487,299,25,,,27,5235
"De 30 a 34 años (015)",2036,2026,,297,552,485,531,140,17,4,10,6243
"De 35 a 39 años (016)",1768,1764,9,161,327,356,554,267,81,9,4,6823
"De 40 a 44 años (017)",1321,1318,2,73,124,201,413,330,142,33,3,6392
"De 45 a 49 años (018)",980,975,3,45,79,103,266,238,157,84,5,5462
"De 50 y más años (019)",2251,2236,12,100,112,161,444,612,446,349,15,14371
"Separado(a) (020)",2197,2172,8,716,507,264,351,221,75,30,25,6451
"De 12 a 14 años (021)",6,5,,4,1,,,,,,1,6
