"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia JORGE BASADRE (000)",9239,5631,3608
"Casa independiente (001)",6129,3518,2611
"Departamento en edificio (002)",1662,1662,
"Vivienda en quinta (003)",51,51,
"Vivienda en casa de vecindad (004)",301,301,
"Choza o cabaña (005)",973,,973
"Vivienda improvisada (006)",74,74,
"Local no dest.para hab. humana (007)",45,23,22
"Otro tipo (008)",4,2,2
