"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia PASCO (000)",56204,126726,115030,,2420,90.8,1.9
"De 12 a 14 años (001)",5390,35,35,,1,100,2.9
"De 15 a 19 años (002)",8251,795,782,226,98.4,28.4,
"De 20 a 24 años (003)",7725,4636,4543,633,98,13.7,
"De 25 a 29 años (004)",6801,8902,8630,621,96.9,7,
"De 30 a 34 años (005)",5533,11533,11110,446,96.3,3.9,
"De 35 a 39 años (006)",5316,15486,14807,333,95.6,2.2,
"De 40 a 44 años (007)",4336,16267,15192,143,93.4,0.9,
"De 45 a 49 años (008)",3414,15419,14175,17,91.9,0.1,
"De 50 y más años (009)",9438,53653,45756,,85.3,,
"Conviviente (010)",13635,33130,31293,1472,94.5,4.4,
"De 12 a 14 años (011)",67,23,23,1,100,4.3,
"De 15 a 19 años (012)",816,518,514,154,99.2,29.7,
"De 20 a 24 años (013)",2721,3224,3160,459,98,14.2,
"De 25 a 29 años (014)",3099,5452,5280,402,96.8,7.4,
"De 30 a 34 años (015)",2431,5915,5698,236,96.3,4,
"De 35 a 39 años (016)",1890,6064,5798,154,95.6,2.5,
"De 40 a 44 años (017)",1107,4470,4160,62,93.1,1.4,
"De 45 a 49 años (018)",636,2885,2675,4,92.7,0.1,
"De 50 y más años (019)",868,4579,3985,,87,,
"Separado(a) (020)",2423,6438,6009,117,93.3,1.8,
"De 12 a 14 años (021)",3,1,1,,100,,
"De 15 a 19 años (022)",73,67,66,22,98.5,32.8,
"De 20 a 24 años (023)",288,350,344,32,98.3,9.1,
"De 25 a 29 años (024)",318,475,463,19,97.5,4,
"De 30 a 34 años (025)",349,684,661,20,96.6,2.9,
"De 35 a 39 años (026)",357,867,834,18,96.2,2.1,
"De 40 a 44 años (027)",273,807,766,4,94.9,0.5,
"De 45 a 49 años (028)",227,868,799,2,92.1,0.2,
"De 50 y más años (029)",535,2319,2075,,89.5,,
"Casado(a) (030)",15056,64101,58182,681,90.8,1.1,
"De 12 a 14 años (031)",6,2,2,,100,,
"De 15 a 19 años (032)",107,74,72,16,97.3,21.6,
"De 20 a 24 años (033)",528,675,658,81,97.5,12,
"De 25 a 29 años (034)",1288,2439,2368,175,97.1,7.2,
"De 30 a 34 años (035)",1717,4285,4130,172,96.4,4,
"De 35 a 39 años (036)",2347,7700,7378,154,95.8,2,
