"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PASCO (000)",56204,53012,18821,7510,7186,5229,6812,3937,2080,1437,3192,126726
"De 12 a 14 años (001)",5390,5362,5334,21,7,,,,,,28,35
"De 15 a 19 años (002)",8251,8133,7451,592,75,7,8,,,,118,795
"De 20 a 24 años (003)",7725,6514,3234,2213,860,158,40,9,,,1211,4636
"De 25 a 29 años (004)",6801,5852,1192,1913,1716,718,276,30,7,,949,8902
"De 30 a 34 años (005)",5533,5174,542,1103,1597,1045,771,91,19,6,359,11533
"De 35 a 39 años (006)",5316,5118,301,613,1234,1202,1328,352,70,18,198,15486
"De 40 a 44 años (007)",4336,4225,201,332,649,808,1382,605,189,59,111,16267
"De 45 a 49 años (008)",3414,3364,133,213,384,477,1031,693,315,118,50,15419
"De 50 y más años (009)",9438,9270,433,510,664,814,1976,2157,1480,1236,168,53653
"Sin nivel (010)",4753,4647,303,266,370,379,892,970,771,696,106,26940
"De 12 a 14 años (011)",38,38,37,1,,,,,,,,1
"De 15 a 19 años (012)",62,60,45,9,5,,1,,,,2,23
"De 20 a 24 años (013)",94,87,19,32,24,7,3,2,,,7,129
"De 25 a 29 años (014)",121,108,10,19,30,20,27,1,1,,13,267
"De 30 a 34 años (015)",151,142,7,17,36,33,33,13,1,2,9,443
"De 35 a 39 años (016)",207,199,11,15,36,33,53,33,15,3,8,790
"De 40 a 44 años (017)",274,265,11,7,24,30,86,62,32,13,9,1344
"De 45 a 49 años (018)",336,332,13,15,23,21,81,86,65,28,4,1911
"De 50 y más años (019)",3470,3416,150,151,192,235,608,773,657,650,54,22032
"Educacion Inicial (020)",59,58,22,12,13,4,7,,,,1,84
"De 12 a 14 años (021)",6,6,5,,1,,,,,,,2
