"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia GRAU (000)",23324,1290,3091,3607,2095,2831,2849,5087,2474
"Sabe leer y escribir (001)",17244,,2123,3569,2050,2632,2426,3501,943
"No sabe leer y escribir (002)",6080,1290,968,38,45,199,423,1586,1531
"Hombres (004)",11872,660,1592,1917,1152,1399,1424,2579,1149
"Sabe leer y escribir (005)",9792,,1084,1896,1135,1352,1332,2250,743
"No sabe leer y escribir (006)",2080,660,508,21,17,47,92,329,406
"Mujeres (008)",11452,630,1499,1690,943,1432,1425,2508,1325
"Sabe leer y escribir (009)",7452,,1039,1673,915,1280,1094,1251,200
"No sabe leer y escribir (010)",4000,630,460,17,28,152,331,1257,1125
,,,,,,,,,
"URBANA (012)",9323,492,1194,1403,977,1315,1229,1899,814
"Sabe leer y escribir (013)",7576,,873,1397,968,1284,1138,1522,394
"No sabe leer y escribir (014)",1747,492,321,6,9,31,91,377,420
"Hombres (016)",4620,250,590,710,540,620,608,954,348
"Sabe leer y escribir (017)",4033,,412,706,536,612,588,898,281
"No sabe leer y escribir (018)",587,250,178,4,4,8,20,56,67
"Mujeres (020)",4703,242,604,693,437,695,621,945,466
"Sabe leer y escribir (021)",3543,,461,691,432,672,550,624,113
"No sabe leer y escribir (022)",1160,242,143,2,5,23,71,321,353
,,,,,,,,,
"RURAL (024)",14001,798,1897,2204,1118,1516,1620,3188,1660
"Sabe leer y escribir (025)",9668,,1250,2172,1082,1348,1288,1979,549
"No sabe leer y escribir (026)",4333,798,647,32,36,168,332,1209,1111
"Hombres (028)",7252,410,1002,1207,612,779,816,1625,801
"Sabe leer y escribir (029)",5759,,672,1190,599,740,744,1352,462
"No sabe leer y escribir (030)",1493,410,330,17,13,39,72,273,339
"Mujeres (032)",6749,388,895,997,506,737,804,1563,859
"Sabe leer y escribir (033)",3909,,578,982,483,608,544,627,87
"No sabe leer y escribir (034)",2840,388,317,15,23,129,260,936,772
