"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia SATIPO (000)",41269,190821,11433,51152,29836,139669
"Casa independiente (001)",23873,108612,9610,44314,14263,64298
"Departamento en edificio (002)",133,535,133,535,,
"Vivienda en quinta (003)",963,3270,963,3270,,
"Vivienda en casa de vecindad (004)",563,2410,563,2410,,
"Choza o cabaña (005)",15368,74448,,,15368,74448
"Vivienda improvisada (006)",128,537,128,537,,
"Local no dest.para hab. humana (007)",64,236,24,49,40,187
"Otro tipo (008)",177,773,12,37,165,736
