"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia PARURO (000)",29001,1617,4135,4383,2342,3376,3581,6788,2779
"Sabe leer y escribir (001)",20908,,2954,4338,2300,3103,2955,4291,967
"No sabe leer y escribir (002)",8093,1617,1181,45,42,273,626,2497,1812
"Hombres (004)",14783,836,2171,2316,1266,1699,1776,3435,1284
"Sabe leer y escribir (005)",11986,,1547,2294,1253,1643,1663,2860,726
"No sabe leer y escribir (006)",2797,836,624,22,13,56,113,575,558
"Mujeres (008)",14218,781,1964,2067,1076,1677,1805,3353,1495
"Sabe leer y escribir (009)",8922,,1407,2044,1047,1460,1292,1431,241
"No sabe leer y escribir (010)",5296,781,557,23,29,217,513,1922,1254
,,,,,,,,,
"URBANA (012)",10020,497,1191,1483,892,1121,1284,2460,1092
"Sabe leer y escribir (013)",7725,,884,1475,884,1060,1135,1773,514
"No sabe leer y escribir (014)",2295,497,307,8,8,61,149,687,578
"Hombres (016)",5066,249,643,776,477,559,623,1241,498
"Sabe leer y escribir (017)",4351,,481,773,474,549,597,1114,363
"No sabe leer y escribir (018)",715,249,162,3,3,10,26,127,135
"Mujeres (020)",4954,248,548,707,415,562,661,1219,594
"Sabe leer y escribir (021)",3374,,403,702,410,511,538,659,151
"No sabe leer y escribir (022)",1580,248,145,5,5,51,123,560,443
,,,,,,,,,
"RURAL (024)",18981,1120,2944,2900,1450,2255,2297,4328,1687
"Sabe leer y escribir (025)",13183,,2070,2863,1416,2043,1820,2518,453
"No sabe leer y escribir (026)",5798,1120,874,37,34,212,477,1810,1234
"Hombres (028)",9717,587,1528,1540,789,1140,1153,2194,786
"Sabe leer y escribir (029)",7635,,1066,1521,779,1094,1066,1746,363
"No sabe leer y escribir (030)",2082,587,462,19,10,46,87,448,423
"Mujeres (032)",9264,533,1416,1360,661,1115,1144,2134,901
"Sabe leer y escribir (033)",5548,,1004,1342,637,949,754,772,90
"No sabe leer y escribir (034)",3716,533,412,18,24,166,390,1362,811
