"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia TACNA (000)",71553,258846,66179,242401,5374,16445
"Casa independiente (001)",61902,232477,58355,220923,3547,11554
"Departamento en edificio (002)",2226,6748,2226,6748,,
"Vivienda en quinta (003)",393,1222,393,1222,,
"Vivienda en casa de vecindad (004)",410,1386,410,1386,,
"Choza o cabaña (005)",1807,4849,,,1807,4849
"Vivienda improvisada (006)",4646,11788,4646,11788,,
"Local no dest.para hab. humana (007)",139,306,131,294,8,12
"Otro tipo (008)",30,70,18,40,12,30
