"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CORONGO (000)",3057,2986,861,336,343,303,432,338,215,158,71,9657
"De 12 a 14 años (001)",311,310,309,1,,,,,,,1,1
"De 15 a 19 años (002)",392,388,340,45,2,1,,,,,4,52
"De 20 a 24 años (003)",258,235,83,92,48,8,2,2,,,23,232
"De 25 a 29 años (004)",252,241,31,69,72,46,19,3,1,,11,459
"De 30 a 34 años (005)",250,241,20,39,51,55,63,12,1,,9,675
"De 35 a 39 años (006)",268,262,11,19,59,67,65,37,4,,6,895
"De 40 a 44 años (007)",228,226,11,14,30,32,65,47,19,8,2,1017
"De 45 a 49 años (008)",197,194,10,9,25,18,46,46,28,12,3,983
"De 50 y más años (009)",901,889,46,48,56,76,172,191,162,138,12,5343
"Conviviente (010)",867,854,54,164,159,138,154,111,42,32,13,3028
"De 12 a 14 años (011)",4,3,2,1,,,,,,,1,1
"De 15 a 19 años (012)",50,47,21,26,,,,,,,3,26
"De 20 a 24 años (013)",125,120,15,60,37,7,1,,,,5,159
"De 25 a 29 años (014)",145,145,5,41,49,36,12,2,,,,312
"De 30 a 34 años (015)",122,121,4,19,22,33,35,7,1,,1,374
"De 35 a 39 años (016)",128,126,2,8,23,33,35,24,1,,2,472
"De 40 a 44 años (017)",92,92,1,5,9,13,29,24,8,3,,448
"De 45 a 49 años (018)",59,59,1,,7,3,14,19,10,5,,346
"De 50 y más años (019)",142,141,3,4,12,13,28,35,22,24,1,890
"Separado(a) (020)",90,89,1,33,20,14,11,6,2,2,1,250
"De 15 a 19 años (022)",5,5,,5,,,,,,,,5
"De 20 a 24 años (023)",10,10,,8,1,1,,,,,,13
"De 25 a 29 años (024)",13,12,,7,4,1,,,,,1,18
"De 30 a 34 años (025)",14,14,1,7,2,3,1,,,,,25
