"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PAUCAR DEL SARA SARA (000)",3092,3003,17,500,507,430,734,477,229,109,89,12224
"De 12 a 14 años (001)",5,3,,3,,,,,,,2,3
"De 15 a 19 años (002)",63,58,1,48,9,,,,,,5,66
"De 20 a 24 años (003)",261,237,1,150,70,10,6,,,,24,346
"De 25 a 29 años (004)",297,280,3,103,90,55,28,1,,,17,573
"De 30 a 34 años (005)",282,266,,45,90,69,50,8,4,,16,734
"De 35 a 39 años (006)",308,301,1,32,61,77,95,29,6,,7,1040
"De 40 a 44 años (007)",317,314,2,30,43,55,99,61,15,9,3,1323
"De 45 a 49 años (008)",247,244,,15,21,28,88,49,32,11,3,1234
"De 50 y más años (009)",1312,1300,9,74,123,136,368,329,172,89,12,6905
"Sin nivel (010)",751,742,8,37,62,72,212,195,109,47,9,3995
"De 15 a 19 años (012)",2,2,,1,1,,,,,,,3
"De 20 a 24 años (013)",6,6,1,1,2,,2,,,,,14
"De 25 a 29 años (014)",15,14,1,2,2,4,5,,,,1,39
"De 30 a 34 años (015)",16,16,,,5,2,7,2,,,,63
"De 35 a 39 años (016)",25,23,,,2,,9,10,2,,2,124
"De 40 a 44 años (017)",29,28,,,3,4,9,2,5,5,1,160
"De 45 a 49 años (018)",41,41,,2,,4,10,13,11,1,,248
"De 50 y más años (019)",617,612,6,31,47,58,170,168,91,41,5,3344
"Educacion Inicial (020)",5,5,,2,1,1,1,,,,,11
"De 12 a 14 años (021)",1,1,,1,,,,,,,,1
"De 20 a 24 años (023)",1,1,,1,,,,,,,,1
"De 25 a 29 años (024)",1,1,,,1,,,,,,,2
"De 30 a 34 años (025)",2,2,,,,1,1,,,,,7
