"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUANTA (000)",22710,21942,132,4399,3895,3413,5456,3142,1189,316,768,80030
"De 12 a 14 años (001)",38,23,3,16,4,,,,,,15,24
"De 15 a 19 años (002)",944,876,10,748,98,16,4,,,,68,1008
"De 20 a 24 años (003)",2696,2420,18,1361,753,223,58,7,,,276,3818
"De 25 a 29 años (004)",2967,2788,13,780,906,659,392,34,4,,179,6458
"De 30 a 34 años (005)",2841,2783,8,440,611,656,843,202,20,3,58,8786
"De 35 a 39 años (006)",2507,2462,7,245,404,488,834,389,87,8,45,9499
"De 40 a 44 años (007)",2277,2254,9,153,263,294,769,527,203,36,23,10446
"De 45 a 49 años (008)",1872,1863,7,109,204,234,584,472,197,56,9,9099
"De 50 y más años (009)",6568,6473,57,547,652,843,1972,1511,678,213,95,30892
"Conviviente (010)",6244,6083,38,2108,1598,974,938,334,75,18,161,15256
"De 12 a 14 años (011)",25,14,3,9,2,,,,,,11,13
"De 15 a 19 años (012)",639,584,7,496,72,7,2,,,,55,669
"De 20 a 24 años (013)",1603,1543,10,874,506,120,29,4,,,60,2390
"De 25 a 29 años (014)",1382,1366,4,402,510,306,134,9,1,,16,2973
"De 30 a 34 años (015)",990,986,3,184,258,249,238,49,4,1,4,2814
"De 35 a 39 años (016)",666,660,4,72,134,155,222,62,11,,6,2262
"De 40 a 44 años (017)",400,397,3,26,51,73,145,70,24,5,3,1683
"De 45 a 49 años (018)",231,229,1,15,34,24,81,54,15,5,2,1048
"De 50 y más años (019)",308,304,3,30,31,40,87,86,20,7,4,1404
"Separado(a) (020)",1374,1357,10,489,310,199,218,88,36,7,17,3600
"De 12 a 14 años (021)",2,2,,1,1,,,,,,,3
"De 15 a 19 años (022)",86,84,,78,6,,,,,,2,90
