"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ANTA (000)",16657,13191,2050,675,741
"Hombres (001)",12217,9463,1667,526,561
"Mujeres (002)",4440,3728,383,149,180
"De 06 a 14 años (003)",364,314,45,5,
"Hombres (004)",256,219,34,3,
"Mujeres (005)",108,95,11,2,
"De 15 a 29 años (006)",4623,3597,589,200,237
"Hombres (007)",3233,2477,451,155,150
"Mujeres (008)",1390,1120,138,45,87
"De 30 a 44 años (009)",5546,4231,714,293,308
"Hombres (010)",4084,3032,591,221,240
"Mujeres (011)",1462,1199,123,72,68
"De 45 a 64 años (012)",4586,3656,582,163,185
"Hombres (013)",3457,2669,490,136,162
"Mujeres (014)",1129,987,92,27,23
"De 65 y más años (015)",1538,1393,120,14,11
"Hombres (016)",1187,1066,101,11,9
"Mujeres (017)",351,327,19,3,2
,,,,,
"URBANA (018)",6326,4632,806,425,463
"Hombres (019)",4090,2804,612,320,354
"Mujeres (020)",2236,1828,194,105,109
"De 06 a 14 años (021)",171,148,21,2,
"Hombres (022)",117,98,17,2,
"Mujeres (023)",54,50,4,,
"De 15 a 29 años (024)",1794,1293,250,118,133
"Hombres (025)",1105,761,175,87,82
"Mujeres (026)",689,532,75,31,51
"De 30 a 44 años (027)",2234,1552,286,191,205
"Hombres (028)",1430,914,219,137,160
"Mujeres (029)",804,638,67,54,45
"De 45 a 64 años (030)",1644,1213,206,105,120
"Hombres (031)",1111,749,168,86,108
"Mujeres (032)",533,464,38,19,12
"De 65 y más años (033)",483,426,43,9,5
"Hombres (034)",327,282,33,8,4
"Mujeres (035)",156,144,10,1,1
,,,,,
"RURAL (036)",10331,8559,1244,250,278
"Hombres (037)",8127,6659,1055,206,207
"Mujeres (038)",2204,1900,189,44,71
"De 06 a 14 años (039)",193,166,24,3,
"Hombres (040)",139,121,17,1,
"Mujeres (041)",54,45,7,2,
"De 15 a 29 años (042)",2829,2304,339,82,104
"Hombres (043)",2128,1716,276,68,68
"Mujeres (044)",701,588,63,14,36
"De 30 a 44 años (045)",3312,2679,428,102,103
"Hombres (046)",2654,2118,372,84,80
"Mujeres (047)",658,561,56,18,23
"De 45 a 64 años (048)",2942,2443,376,58,65
"Hombres (049)",2346,1920,322,50,54
"Mujeres (050)",596,523,54,8,11
"De 65 y más años (051)",1055,967,77,5,6
"Hombres (052)",860,784,68,3,5
"Mujeres (053)",195,183,9,2,1
