"CUADRO Nº 11: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CORONGO (000)",2196,20,69,173,269,451,719,495
"De 12 a 14 años (001)",2,,,,,,,2
"De 15 a 19 años (002)",52,,,,,,34,18
"De 20 a 24 años (003)",175,,,,,,110,65
"De 25 a 29 años (004)",221,,,,,4,157,60
"De 30 a 34 años (005)",230,,,,,25,161,44
"De 35 a 39 años (006)",257,,,,5,87,132,33
"De 40 a 44 años (007)",217,,,,15,87,87,28
"De 45 a 49 años (008)",187,,,,28,107,23,29
"De 50 y más años (009)",855,20,69,173,221,141,15,216
"Conviviente (010)",813,,2,18,53,148,426,166
"De 12 a 14 años (011)",2,,,,,,,2
"De 15 a 19 años (012)",29,,,,,,17,12
"De 20 a 24 años (013)",110,,,,,,73,37
"De 25 a 29 años (014)",140,,,,,4,109,27
"De 30 a 34 años (015)",118,,,,,7,89,22
"De 35 a 39 años (016)",126,,,,3,39,71,13
"De 40 a 44 años (017)",91,,,,3,36,46,6
"De 45 a 49 años (018)",58,,,,8,32,11,7
"De 50 y más años (019)",139,,2,18,39,30,10,40
"Separado(a) (020)",89,1,,4,7,24,33,20
"De 15 a 19 años (022)",5,,,,,,5,
"De 20 a 24 años (023)",10,,,,,,7,3
"De 25 a 29 años (024)",13,,,,,,7,6
"De 30 a 34 años (025)",13,,,,,2,8,3
"De 35 a 39 años (026)",11,,,,,6,4,1
"De 40 a 44 años (027)",6,,,,,5,,1
"De 45 a 49 años (028)",6,,,,1,3,1,1
"De 50 y más años (029)",25,1,,4,6,8,1,5
"Casado(a) (030)",846,7,19,90,163,224,201,142
"De 15 a 19 años (032)",7,,,,,,5,2
"De 20 a 24 años (033)",12,,,,,,11,1
"De 25 a 29 años (034)",35,,,,,,29,6
"De 30 a 34 años (035)",77,,,,,11,54,12
"De 35 a 39 años (036)",88,,,,1,28,50,9
"De 40 a 44 años (037)",99,,,,11,38,38,12
"De 45 a 49 años (038)",97,,,,14,60,10,13
"De 50 y más años (039)",431,7,19,90,137,87,4,87
"Viudo(a) (040)",254,11,45,52,37,30,4,75
"De 15 a 19 años (042)",1,,,,,,,1
"De 25 a 29 años (044)",1,,,,,,1,
"De 30 a 34 años (045)",1,,,,,,1,
"De 35 a 39 años (046)",6,,,,,5,1,
"De 40 a 44 años (047)",9,,,,,4,1,4
"De 45 a 49 años (048)",13,,,,4,7,,2
"De 50 y más años (049)",223,11,45,52,33,14,,68
"Divorciado(a) (050)",10,,,2,1,3,2,2
"De 30 a 34 años (055)",2,,,,,,2,
"De 35 a 39 años (056)",1,,,,,1,,
"De 40 a 44 años (057)",1,,,,,1,,
"De 45 a 49 años (058)",1,,,,,1,,
