"CUADRO Nº 25: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia SATIPO (000)",68720,7219,14140,33546,2354,10444,1017
"Agric., ganadería, caza y silvicultura (001)",46883,68,11312,24199,1887,9417,
"Pesca (002)",15,1,7,6,,1,
"Explotación de minas y canteras (003)",75,5,66,3,1,,
"Industrias manufactureras (004)",2004,102,855,879,81,87,
"Suministro de electricidad, gas y agua (005)",53,22,30,,1,,
"Construcción (006)",1213,42,819,305,32,15,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",5536,807,156,3871,183,519,
"Venta, mant.y rep. veh.autom y motoc. (008)",657,67,107,421,31,31,
"Comercio al por mayor (009)",276,68,16,157,13,22,
"Comercio al por menor (010)",4603,672,33,3293,139,466,
"Hoteles y restaurantes (011)",2006,626,84,1098,64,134,
"Trans., almac. y comunicaciones (012)",2730,501,363,1788,31,47,
"Intermediación financiera (013)",51,47,,3,1,,
"Activid.inmobil., empres. y alquileres (014)",1045,708,126,182,21,8,
"Admin.pub. y defensa; p. segur soc.afil (015)",1154,1073,81,,,,
"Enseñanza (016)",2373,2243,2,117,7,4,
"Servicios sociales y de salud (017)",576,500,3,63,6,4,
"Otras activ. serv.comun.soc y personales (018)",626,251,49,308,7,11,
"Hogares privados con servicio doméstico (019)",1017,,,,,,1017
"Actividad economica no especificada (021)",1363,223,187,724,32,197,
"Hombres (022)",52893,4069,12528,27564,2070,6592,70
"Agric., ganadería, caza y silvicultura (023)",40439,57,10036,22289,1756,6301,
"Pesca (024)",13,1,6,6,,,
"Explotación de minas y canteras (025)",74,5,65,3,1,,
"Industrias manufactureras (026)",1637,74,785,664,76,38,
"Suministro de electricidad, gas y agua (027)",51,20,30,,1,,
"Construcción (028)",1160,40,770,303,32,15,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",2663,414,153,1849,112,135,
"Venta, mant.y rep. veh.autom y motoc. (030)",566,44,105,365,29,23,
"Comercio al por mayor (031)",153,41,15,87,7,3,
"Comercio al por menor (032)",1944,329,33,1397,76,109,
"Hoteles y restaurantes (033)",535,200,23,259,22,31,
"Trans., almac. y comunicaciones (034)",2600,424,360,1745,30,41,
"Intermediación financiera (035)",28,24,,3,1,,
"Activid.inmobil., empres. y alquileres (036)",783,517,110,139,16,1,
"Admin.pub. y defensa; p. segur soc.afil (037)",831,779,52,,,,
"Enseñanza (038)",1148,1082,2,58,5,1,
"Servicios sociales y de salud (039)",261,214,1,41,5,,
"Otras activ. serv.comun.soc y personales (040)",258,126,34,90,5,3,
"Hogares privados con servicio doméstico (041)",70,,,,,,70
"Actividad economica no especificada (043)",342,92,101,115,8,26,
"Mujeres (044)",15827,3150,1612,5982,284,3852,947
"Agric., ganadería, caza y silvicultura (045)",6444,11,1276,1910,131,3116,
"Pesca (046)",2,,1,,,1,
"Explotación de minas y canteras (047)",1,,1,,,,
"Industrias manufactureras (048)",367,28,70,215,5,49,
"Suministro de electricidad, gas y agua (049)",2,2,,,,,
"Construcción (050)",53,2,49,2,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",2873,393,3,2022,71,384,
"Venta, mant.y rep. veh.autom y motoc. (052)",91,23,2,56,2,8,
"Comercio al por mayor (053)",123,27,1,70,6,19,
"Comercio al por menor (054)",2659,343,,1896,63,357,
"Hoteles y restaurantes (055)",1471,426,61,839,42,103,
"Trans., almac. y comunicaciones (056)",130,77,3,43,1,6,
"Intermediación financiera (057)",23,23,,,,,
"Activid.inmobil., empres. y alquileres (058)",262,191,16,43,5,7,
"Admin.pub. y defensa; p. segur soc.afil (059)",323,294,29,,,,
"Enseñanza (060)",1225,1161,,59,2,3,
"Servicios sociales y de salud (061)",315,286,2,22,1,4,
"Otras activ. serv.comun.soc y personales (062)",368,125,15,218,2,8,
"Hogares privados con servicio doméstico (063)",947,,,,,,947
"Actividad economica no especificada (065)",1021,131,86,609,24,171,
,,,,,,,
"URBANA (066)",20927,5378,3376,9450,634,1508,581
"Agric., ganadería, caza y silvicultura (067)",5628,40,1632,2843,277,836,
"Pesca (068)",5,,4,1,,,
"Explotación de minas y canteras (069)",49,2,44,3,,,
"Industrias manufactureras (070)",1122,67,399,573,51,32,
"Suministro de electricidad, gas y agua (071)",30,15,15,,,,
"Construcción (072)",930,35,629,240,22,4,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",4265,615,116,2972,147,415,
"Venta, mant.y rep. veh.autom y motoc. (074)",530,51,73,356,24,26,
"Comercio al por mayor (075)",208,56,15,114,10,13,
"Comercio al por menor (076)",3527,508,28,2502,113,376,
"Hoteles y restaurantes (077)",1513,458,45,862,56,92,
"Trans., almac. y comunicaciones (078)",1797,391,183,1164,24,35,
"Intermediación financiera (079)",43,40,,2,1,,
"Activid.inmobil., empres. y alquileres (080)",864,571,110,159,19,5,
"Admin.pub. y defensa; p. segur soc.afil (081)",928,879,49,,,,
"Enseñanza (082)",1599,1520,1,69,6,3,
"Servicios sociales y de salud (083)",442,379,2,52,6,3,
"Otras activ. serv.comun.soc y personales (084)",509,199,42,251,6,11,
"Hogares privados con servicio doméstico (085)",581,,,,,,581
"Actividad economica no especificada (087)",622,167,105,259,19,72,
"Hombres (088)",13752,3080,2957,6415,490,774,36
"Agric., ganadería, caza y silvicultura (089)",4812,32,1408,2549,257,566,
"Pesca (090)",4,,3,1,,,
"Explotación de minas y canteras (091)",48,2,43,3,,,
"Industrias manufactureras (092)",943,42,367,464,47,23,
"Suministro de electricidad, gas y agua (093)",29,14,15,,,,
"Construcción (094)",885,33,588,238,22,4,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",2108,325,113,1479,88,103,
"Venta, mant.y rep. veh.autom y motoc. (096)",458,36,71,309,23,19,
"Comercio al por mayor (097)",118,35,14,63,4,2,
"Comercio al por menor (098)",1532,254,28,1107,61,82,
"Hoteles y restaurantes (099)",459,172,17,223,20,27,
"Trans., almac. y comunicaciones (100)",1686,321,182,1131,23,29,
"Intermediación financiera (101)",23,20,,2,1,,
"Activid.inmobil., empres. y alquileres (102)",656,425,97,119,14,1,
"Admin.pub. y defensa; p. segur soc.afil (103)",661,633,28,,,,
"Enseñanza (104)",767,729,1,32,4,1,
"Servicios sociales y de salud (105)",199,160,,34,5,,
"Otras activ. serv.comun.soc y personales (106)",205,96,29,73,4,3,
"Hogares privados con servicio doméstico (107)",36,,,,,,36
"Actividad economica no especificada (109)",231,76,66,67,5,17,
"Mujeres (110)",7175,2298,419,3035,144,734,545
"Agric., ganadería, caza y silvicultura (111)",816,8,224,294,20,270,
"Pesca (112)",1,,1,,,,
"Explotación de minas y canteras (113)",1,,1,,,,
"Industrias manufactureras (114)",179,25,32,109,4,9,
"Suministro de electricidad, gas y agua (115)",1,1,,,,,
"Construcción (116)",45,2,41,2,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",2157,290,3,1493,59,312,
