"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ATALAYA (000)",12955,9876,1552,603,924
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",27,1,5,3,18
"Profes., científicos e intelectuales (002)",879,296,262,190,131
"Técnicos de nivel medio y trab. asimilados (003)",250,87,61,22,80
"Jefes y empleados de oficina (004)",298,68,21,42,167
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1019,894,72,20,33
"Agricult.trabaj.calif.agrop.y pesqueros (006)",2402,2169,203,4,26
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",540,387,93,30,30
"Obreros construc.,conf.,papel, fab., instr. (008)",917,533,138,90,156
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",6123,5119,638,177,189
"Otra (010)",84,,,,84
"Ocupación no especificada (011)",416,322,59,25,10
"Hombres (012)",8875,6558,1170,425,722
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",21,1,4,1,15
"Profes., científicos e intelectuales (014)",514,156,163,106,89
"Técnicos de nivel medio y trab. asimilados (015)",198,62,58,19,59
"Jefes y empleados de oficina (016)",179,42,14,22,101
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",435,354,45,11,25
"Agricult.trabaj.calif.agrop.y pesqueros (018)",2023,1809,184,4,26
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",487,345,90,25,27
"Obreros construc.,conf.,papel, fab., instr. (020)",866,500,131,83,152
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",3820,3124,426,131,139
"Otra (022)",83,,,,83
"Ocupación no especificada (023)",249,165,55,23,6
"Mujeres (024)",4080,3318,382,178,202
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",6,,1,2,3
"Profes., científicos e intelectuales (026)",365,140,99,84,42
"Técnicos de nivel medio y trab. asimilados (027)",52,25,3,3,21
"Jefes y empleados de oficina (028)",119,26,7,20,66
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",584,540,27,9,8
"Agricult.trabaj.calif.agrop.y pesqueros (030)",379,360,19,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",53,42,3,5,3
"Obreros construc.,conf.,papel, fab., instr. (032)",51,33,7,7,4
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",2303,1995,212,46,50
