"CUADRO Nº 25: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",7353,1328,362,5075,297,291,
"Venta, mant.y rep. veh.autom y motoc. (096)",1466,147,257,938,97,27,
"Comercio al por mayor (097)",520,177,47,248,28,20,
"Comercio al por menor (098)",5367,1004,58,3889,172,244,
"Hoteles y restaurantes (099)",1117,512,95,413,57,40,
"Trans., almac. y comunicaciones (100)",5636,1074,392,4063,65,42,
"Intermediación financiera (101)",236,228,,8,,,
"Activid.inmobil., empres. y alquileres (102)",2053,1127,38,817,64,7,
"Admin.pub. y defensa; p. segur soc.afil (103)",1864,1641,223,,,,
"Enseñanza (104)",3030,2872,1,148,6,3,
"Servicios sociales y de salud (105)",745,637,2,94,11,1,
"Otras activ. serv.comun.soc y personales (106)",1103,519,49,495,26,14,
"Hogares privados con servicio doméstico (107)",151,,,,,,151
"Actividad economica no especificada (109)",724,348,112,219,23,22,
"Mujeres (110)",22846,9125,860,8867,342,1574,2078
"Agric., ganadería, caza y silvicultura (111)",935,17,227,357,16,318,
"Explotación de minas y canteras (113)",18,14,2,,2,,
"Industrias manufactureras (114)",840,90,130,547,30,43,
"Suministro de electricidad, gas y agua (115)",14,12,2,,,,
"Construcción (116)",128,45,60,15,5,3,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",7268,1011,13,5131,146,967,
"Venta, mant.y rep. veh.autom y motoc. (118)",140,56,3,49,9,23,
"Comercio al por mayor (119)",275,73,3,135,16,48,
"Comercio al por menor (120)",6853,882,7,4947,121,896,
"Hoteles y restaurantes (121)",2355,571,76,1534,70,104,
"Trans., almac. y comunicaciones (122)",481,341,14,82,14,30,
"Intermediación financiera (123)",151,142,,9,,,
"Activid.inmobil., empres. y alquileres (124)",856,579,26,225,17,9,
"Admin.pub. y defensa; p. segur soc.afil (125)",920,743,177,,,,
"Enseñanza (126)",3684,3538,,132,5,9,
"Servicios sociales y de salud (127)",1283,1171,17,78,8,9,
"Otras activ. serv.comun.soc y personales (128)",1010,379,63,552,9,7,
"Hogares privados con servicio doméstico (129)",2078,,,,,,2078
"Actividad economica no especificada (131)",825,472,53,205,20,75,
,,,,,,,
"RURAL (132)",31822,764,5800,18641,631,5546,440
"Agric., ganadería, caza y silvicultura (133)",26076,6,4913,15360,587,5210,
"Pesca (134)",2,,,2,,,
"Explotación de minas y canteras (135)",34,,21,11,2,,
"Industrias manufactureras (136)",1185,10,112,1033,9,21,
"Suministro de electricidad, gas y agua (137)",24,3,18,3,,,
"Construcción (138)",689,4,510,137,7,31,
"Comerc., rep. veh. autom.,motoc. efect. pers. (139)",1388,105,29,1140,13,101,
"Venta, mant.y rep. veh.autom y motoc. (140)",99,17,20,56,2,4,
"Comercio al por mayor (141)",44,13,2,24,1,4,
"Comercio al por menor (142)",1245,75,7,1060,10,93,
"Hoteles y restaurantes (143)",277,49,20,185,3,20,
"Trans., almac. y comunicaciones (144)",648,84,93,461,3,7,
"Intermediación financiera (145)",6,5,1,,,,
"Activid.inmobil., empres. y alquileres (146)",99,70,11,13,3,2,
"Admin.pub. y defensa; p. segur soc.afil (147)",112,75,37,,,,
"Enseñanza (148)",241,230,2,9,,,
"Servicios sociales y de salud (149)",85,73,1,10,,1,
"Otras activ. serv.comun.soc y personales (150)",122,22,13,84,,3,
"Hogares privados con servicio doméstico (151)",440,,,,,,440
"Actividad economica no especificada (153)",394,28,19,193,4,150,
"Hombres (154)",25970,439,5093,16107,526,3760,45
"Agric., ganadería, caza y silvicultura (155)",22604,4,4254,14174,500,3672,
"Pesca (156)",2,,,2,,,
"Explotación de minas y canteras (157)",33,,20,11,2,,
"Industrias manufactureras (158)",875,9,100,758,3,5,
"Suministro de electricidad, gas y agua (159)",24,3,18,3,,,
"Construcción (160)",686,4,508,136,7,31,
"Comerc., rep. veh. autom.,motoc. efect. pers. (161)",548,63,29,421,6,29,
"Venta, mant.y rep. veh.autom y motoc. (162)",93,13,20,54,2,4,
"Comercio al por mayor (163)",25,10,2,9,1,3,
"Comercio al por menor (164)",430,40,7,358,3,22,
"Hoteles y restaurantes (165)",42,5,4,30,1,2,
"Trans., almac. y comunicaciones (166)",635,78,92,456,2,7,
"Intermediación financiera (167)",5,4,1,,,,
"Activid.inmobil., empres. y alquileres (168)",79,56,8,10,3,2,
"Admin.pub. y defensa; p. segur soc.afil (169)",82,45,37,,,,
"Enseñanza (170)",132,124,2,6,,,
"Servicios sociales y de salud (171)",32,27,1,4,,,
"Otras activ. serv.comun.soc y personales (172)",60,14,7,37,,2,
"Hogares privados con servicio doméstico (173)",45,,,,,,45
"Actividad economica no especificada (175)",86,3,12,59,2,10,
"Mujeres (176)",5852,325,707,2534,105,1786,395
"Agric., ganadería, caza y silvicultura (177)",3472,2,659,1186,87,1538,
"Explotación de minas y canteras (179)",1,,1,,,,
"Industrias manufactureras (180)",310,1,12,275,6,16,
"Construcción (182)",3,,2,1,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (183)",840,42,,719,7,72,
"Venta, mant.y rep. veh.autom y motoc. (184)",6,4,,2,,,
"Comercio al por mayor (185)",19,3,,15,,1,
"Comercio al por menor (186)",815,35,,702,7,71,
"Hoteles y restaurantes (187)",235,44,16,155,2,18,
"Trans., almac. y comunicaciones (188)",13,6,1,5,1,,
"Intermediación financiera (189)",1,1,,,,,
"Activid.inmobil., empres. y alquileres (190)",20,14,3,3,,,
"Admin.pub. y defensa; p. segur soc.afil (191)",30,30,,,,,
"Enseñanza (192)",109,106,,3,,,
"Servicios sociales y de salud (193)",53,46,,6,,1,
"Otras activ. serv.comun.soc y personales (194)",62,8,6,47,,1,
"Hogares privados con servicio doméstico (195)",395,,,,,,395
"Actividad economica no especificada (197)",308,25,7,134,2,140,
