"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CONCEPCION (000)",19118,8878,10240
"Casa independiente (001)",18678,8677,10001
"Departamento en edificio (002)",8,8,
"Vivienda en quinta (003)",60,60,
"Vivienda en casa de vecindad (004)",106,106,
"Choza o cabaña (005)",238,,238
"Vivienda improvisada (006)",21,21,
"Local no dest.para hab. humana (007)",7,6,1
