"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUANCAVELICA (000)",51626,49497,16896,5977,4964,3902,6240,4878,3517,3123,2129,151959
"De 12 a 14 años (001)",5767,5747,5727,19,1,,,,,,20,21
"De 15 a 19 años (002)",7871,7768,6890,761,109,5,3,,,,103,1006
"De 20 a 24 años (003)",6812,5907,2439,2003,1021,337,97,10,,,905,5538
"De 25 a 29 años (004)",5297,4705,697,1322,1224,773,603,73,13,,592,9213
"De 30 a 34 años (005)",4581,4338,295,734,953,791,1065,424,70,6,243,13029
"De 35 a 39 años (006)",4082,3981,187,369,586,621,1079,755,312,72,101,16440
"De 40 a 44 años (007)",3413,3352,142,187,345,386,844,710,489,249,61,17256
"De 45 a 49 años (008)",2989,2963,97,138,209,285,620,643,537,434,26,17772
"De 50 y más años (009)",10814,10736,422,444,516,704,1929,2263,2096,2362,78,71684
"Sin nivel (010)",11161,11026,602,526,578,732,1975,2372,2096,2145,135,70339
"De 12 a 14 años (011)",30,30,30,,,,,,,,,
"De 15 a 19 años (012)",79,79,61,17,1,,,,,,,19
"De 20 a 24 años (013)",195,171,52,37,47,23,12,,,,24,252
"De 25 a 29 años (014)",327,303,28,47,64,62,86,13,3,,24,845
"De 30 a 34 años (015)",513,492,26,45,47,57,183,109,21,4,21,2025
"De 35 a 39 años (016)",736,728,35,36,36,49,176,245,116,35,8,3983
"De 40 a 44 años (017)",857,847,39,37,38,55,164,210,187,117,10,5268
"De 45 a 49 años (018)",1024,1018,34,36,44,57,148,243,241,215,6,7041
"De 50 y más años (019)",7400,7358,297,271,301,429,1206,1552,1528,1774,42,50906
"Educacion Inicial (020)",60,55,21,6,6,8,7,4,3,,5,122
"De 12 a 14 años (021)",7,7,7,,,,,,,,,
